index,mon_name,normal,fire,water,grass,electric,ice,psychic,dark,bug,fighting,flying,poison,ground,rock,steel,ghost,dragon
10,caterpie,35,,,,,,,,,,,,,,,,
11,metapod,35,,,,,,,,,,,,,,,,
12,butterfree,102,,,60,,,90,,,,40,,,,,,
13,weedle,,,,,,,,,,,,15,,,,,
14,kakuna,,,,,,,,,,,,15,,,,,
15,beedrill,102,,,,,,,40,50,,,90,,,,,
16,pidgey,102,,,,,,,40,,,60,,20,,63,,
17,pidgeotto,102,,,,,,,40,,,60,,20,,63,,
18,pidgeot,102,,,,,,,40,,,60,,20,,63,,
19,rattata,102,,,,95,95,,40,,20,,,30,,,80,
20,raticate,102,,,,95,95,,40,,20,,,30,,,80,
21,spearow,102,,,,,,,40,,,80,,20,,63,,
22,fearow,102,,,,,,,40,,,80,,20,,63,,
23,ekans,102,,,60,,,,60,,,,90,100,,,,
24,arbok,102,,,60,,,,60,,,,90,100,,,,
25,pikachu,102,,,,95,,,,,50,,,20,27,75,,
26,raichu,102,,,,95,,,,,50,,,20,27,75,,
27,sandshrew,102,,,,,,,,9.5,50,,15,100,27,75,,
28,sandslash,102,,,,,,,,9.5,50,,15,100,27,75,,
29,nidoran_f,102,,,,95,84,,60,,60,,15,20,,75,,
30,nidorina,102,,,,95,95,,60,,60,,15,20,,75,,
31,nidoqueen,102,102,95,,95,95,,60,9.5,60,,15,100,27,75,80,
32,nidoran_m,102,,,,95,84,,40,,60,,15,20,,75,,
33,nidorino,102,,,,95,95,,40,,60,,15,20,,75,,
34,nidoking,102,102,95,,95,95,,40,9.5,60,,15,100,,75,80,
35,clefairy,102,102,,60,95,95,100,,,50,,,20,27,75,80,
36,clefable,102,102,,60,95,95,100,,,50,,,20,27,75,80,
37,vulpix,102,102,,,,,,,,,,,30,,75,,
38,ninetales,102,102,,,,,,,,,,,30,,75,,
39,jigglypuff,120,102,,60,95,95,100,,,50,,,20,27,,80,
40,wigglytuff,120,102,,60,95,95,100,,,50,,,20,27,,80,
41,zubat,102,,,60,,,,60,20,,60,,,,63,,
42,golbat,102,,,60,,,,60,20,,60,,,,63,,
43,oddish,102,,,70,,,,,,,,90,,,,,
44,gloom,102,,,70,,,,,,,,90,,,,,
45,vileplume,102,,,70,,,,,,,,90,,,,,
46,paras,102,,,60,,,,40,20,20,,90,30,,,,
47,parasect,102,,,60,,,,40,20,20,,90,30,,,,
48,venonat,102,,,60,,,90,40,20,,,90,,,,,
49,venomoth,102,,,60,,,90,40,20,,,90,,,,,
