ID,Name,HP,Attack,Defense,Speed,Special,Move1,Move2,Move3,Move4
3,フシギバナ,175,122,123,120,140,メガドレイン,どくどく,ねむりごな,ソーラービーム
6,リザードン,173,124,118,140,125,だいもんじ,きりさく,じしん,かげぶんしん
9,カメックス,174,123,140,118,125,ハイドロポンプ,のしかかり,ふぶき,じしん
15,スピアー,160,120,80,115,85,ダブルニードル,かげぶんしん,つるぎのまい,はかいこうせん
22,オニドリル,160,130,105,140,101,ゴッドバード,オウムがえし,ドリルくちばし,そらをとぶ
25,ピカチュウ,130,95,70,130,90,10まんボルト,メガトンパンチ,ちきゅうなげ,フラッシュ
31,ニドクイン,186,122,127,116,115,じしん,どくどく,ふぶき,のしかかり
34,ニドキング,176,132,117,125,115,じしん,どくどく,なみのり,あばれる
51,ダグトリオ,130,120,90,160,110,あなをほる,すなかけ,きりさく,じしん
57,オコリザル,160,145,100,135,100,メガトンパンチ,きあいだめ,じごくぐるま,あなをほる
59,ウインディ,185,150,120,135,120,だいもんじ,すてみタックル,あなをほる,はかいこうせん
65,フーディン,150,90,85,160,175,ちきゅうなげ,じこさいせい,サイコキネシス,あなをほる
68,カイリキー,185,170,120,95,105,かいりき,きあいだめ,ちきゅうなげ,じごくぐるま
76,ゴローニャ,175,150,170,85,95,いわおとし,のしかかり,じしん,だいばくはつ
82,レアコイル,145,100,135,110,160,10まんボルト,でんじは,スピードスター,いやなおと
91,パルシェン,145,135,220,110,125,からではさむ,ちょうおんぱ,れいとうビーム,とげキャノン
94,ゲンガー,155,105,100,150,170,あやしいひかり,ナイトヘッド,さいみんじゅつ,ゆめくい
95,イワーク,130,85,200,110,70,じしん,かげぶんしん,すてみタックル,だいばくはつ
97,スリーパー,180,113,110,107,155,さいみんじゅつ,ゆめくい,サイコキネシス,ヨガのポーズ
101,マルマイン,155,90,110,180,120,ソニックブーム,10まんボルト,スピードスター,だいばくはつ
103,ナッシー,190,135,125,95,165,サイコキネシス,ねむりごな,やどりぎのタネ,だいばくはつ
113,ラッキー,345,45,45,90,145,タマゴばくだん,ちいさくなる,うたう,タマゴうみ
115,ガルーラ,200,135,120,130,80,メガトンキック,じしん,なみのり,ピヨピヨパンチ
121,スターミー,155,115,125,155,140,じこさいせい,ちいさくなる,10まんボルト,ハイドロポンプ
123,ストライク,165,150,120,145,95,かげぶんしん,きりさく,つるぎのまい,はかいこうせん
124,ルージュラ,160,90,75,135,135,のしかかり,れいとうパンチ,ふぶき,あばれる
127,カイロス,160,165,140,125,95,ハサミギロチン,はかいこうせん,つるぎのまい,ちきゅうなげ
128,ケンタロス,170,140,135,150,110,とっしん,しっぽをふる,はかいこうせん,かみなり
130,ギャラドス,190,165,119,121,140,かみつく,りゅうのいかり,なみのり,れいとうビーム
131,ラプラス,225,125,120,100,135,のしかかり,あやしいひかり,れいとうビーム,ハイドロポンプ
132,メタモン,143,88,88,88,88,へんしん,,,
134,シャワーズ,225,105,100,105,150,かみつく,とける,バブルこうせん,しろいきり
135,サンダース,160,105,100,170,150,でんじは,にどげり,でんこうせっか,10まんボルト
136,ブースター,160,170,100,105,150,だいもんじ,にらみつける,すなかけ,でんこうせっか
142,プテラ,175,145,105,170,100,ゴッドバード,ちょうおんぱ,すてみタックル,はかいこうせん
143,カビゴン,255,150,105,70,105,ねむる,のしかかり,ふぶき,10まんボルト
144,フリーザー,185,125,140,125,165,とっしん,どくどく,ふぶき,そらをとぶ
145,サンダー,185,130,125,140,165,10まんボルト,でんじは,ドリルくちばし,そらをとぶ
146,ファイヤー,185,140,130,130,165,ゴッドバード,かげぶんしん,だいもんじ,そらをとぶ
149,カイリュー,186,174,135,120,140,のしかかり,かみなり,なみのり,りゅうのいかり
