ID,Name,HP,Attack,Defense,Speed,Special,Move1,Move2,Move3,Move4
1,フシギダネ,69,40,40,39,49,やどりぎのタネ,メガドレイン,ソーラービーム,いあいぎり
4,ヒトカゲ,66,42,37,49,41,ひのこ,いかり,あなをほる,すてみタックル
7,ゼニガメ,68,40,48,38,41,かみつく,バブルこうせん,どくどく,じごくぐるま
10,キャタピー,69,31,33,39,26,たいあたり,いとをはく,,
13,ビードル,66,33,31,41,26,どくばり,いとをはく,,
16,ポッポ,66,38,36,44,34,すなかけ,でんこうせっか,かまいたち,そらをとぶ
19,コラッタ,61,44,33,52,29,でんこうせっか,ひっさつまえば,みずでっぽう,あなをほる
21,オニスズメ,66,46,31,51,32,みだれづき,オウムがえし,そらをとぶ,かまいたち
23,アーボ,64,46,38,44,36,かみつく,へびにらみ,あなをほる,メガドレイン
25,ピカチュウ,64,43,31,61,41,でんじは,たたきつける,かみなり,フラッシュ
27,サンド,71,53,58,36,31,きりさく,どくばり,あなをほる,いわなだれ
29,ニドラン♀,74,39,42,37,36,にどげり,どくばり,とっしん,どくどく
32,ニドラン♂,69,44,36,41,36,にどげり,つのドリル,すてみタックル,どくどく
35,ピッピ,81,38,40,34,46,うたう,ちいさくなる,メガトンキック,ゆびをふる
37,ロコン,65,36,36,49,49,でんこうせっか,スピードスター,あなをほる,ひのこ
39,プリン,104,38,26,26,29,うたう,かなしばり,すてみタックル,じごくぐるま
41,ズバット,66,38,33,44,36,ちょうおんぱ,かまいたち,ものまね,メガドレイン
43,ナゾノクサ,69,41,43,31,54,すいとる,ねむりごな,ソーラービーム,メガドレイン
46,パラス,64,51,43,29,44,しびれごな,メガドレイン,のしかかり,あなをほる
50,ディグダ,51,43,28,64,39,あなをほる,すなかけ,がまん,いわなだれ
52,ニャース,66,38,33,61,36,かみつく,いやなおと,みずでっぽう,10まんボルト
54,コダック,71,42,40,44,41,バブルこうせん,ちきゅうなげ,メガトンパンチ,とっしん
58,ガーディ,74,51,38,46,41,ひのこ,のしかかり,リフレクター,あなをほる
60,ニョロモ,66,41,36,61,36,さいみんじゅつ,ロケットずつき,サイコウェーブ,なみのり
63,ケーシィ,59,26,23,61,69,ゆびをふる,サイコウェーブ,のしかかり,でんじは
66,ワンリキー,81,56,41,34,34,からてチョップ,けたぐり,ちきゅうなげ,かいりき
69,マダツボミ,71,53,33,36,51,まきつく,メガドレイン,ソーラービーム,しびれごな
74,イシツブテ,66,56,66,26,31,いわおとし,じばく,あなをほる,かいりき
81,コイル,59,33,51,39,64,ソニックブーム,スピードスター,でんじは,かみなり
83,カモネギ,72,48,43,46,45,みだれづき,つるぎのまい,かまいたち,そらをとぶ
90,シェルダー,61,48,66,36,39,ちょうおんぱ,からではさむ,れいとうビーム,じばく
92,ゴース,61,33,31,56,66,あやしいひかり,ナイトヘッド,じばく,メガドレイン
98,クラブ,61,68,61,41,29,ハサミギロチン,バブルこうせん,つるぎのまい,のしかかり
100,ビリリダマ,66,31,41,66,44,ソニックブーム,じばく,かみなり,とっしん
102,タマタマ,76,36,56,36,46,さいみんじゅつ,サイコウェーブ,タマゴばくだん,どくどく
104,カラカラ,71,41,63,34,36,ホネこんぼう,じごくぐるま,じわれ,かいりき
109,ドガース,66,48,63,34,46,スモッグ,どくどく,じばく,ものまね
116,タッツー,61,36,51,46,51,えんまく,バブルこうせん,スピードスター,れいとうビーム
118,トサキント,69,49,46,48,41,ちょうおんぱ,つのでつく,なみのり,とっしん
129,コイキング,56,21,43,56,26,はねる,たいあたり,,
132,メタモン,70,40,40,40,40,へんしん,,,
133,イーブイ,74,43,41,44,49,すなかけ,でんこうせっか,のしかかり,とっしん
138,オムナイト,64,36,66,34,61,からにこもる,バブルこうせん,すてみタックル,どくどく
140,カブト,61,56,61,44,39,れいとうビーム,とっしん,なみのり,どくどく
147,ミニリュウ,67,48,38,41,41,でんじは,まきつく,かみなり,バブルこうせん
