ID,Name,HP,Attack,Defense,Speed,Special,Move1,Move2,Move3,Move4
1,フシギダネ,128,78,78,73,93,やどりぎのタネ,どくどく,リフレクター,はっぱカッター
2,フシギソウ,143,91,92,88,108,はっぱカッター,ねむりごな,メガドレイン,のしかかり
3,フシギバナ,163,111,112,108,128,やどりぎのタネ,どくのこな,ソーラービーム,つるのムチ
4,ヒトカゲ,122,81,72,93,78,かえんほうしゃ,きりさく,だいもんじ,ほのおのうず
5,リザード,141,93,87,108,93,だいもんじ,カウンター,つるぎのまい,すてみタックル
6,リザードン,161,113,107,128,113,そらをとぶ,あなをほる,ほのおのうず,メガトンパンチ
7,ゼニガメ,127,77,94,71,78,なみのり,ふぶき,メガトンパンチ,ちきゅうなげ
8,カメール,142,92,109,86,93,なみのり,カウンター,じごくぐるま,れいとうビーム
9,カメックス,162,112,129,106,113,ハイドロポンプ,がまん,かいりき,ちきゅうなげ
10,キャタピー,128,59,64,73,48,たいあたり,いとをはく,,
11,トランセル,133,49,84,58,53,たいあたり,いとをはく,,
12,バタフリー,143,74,79,98,108,サイケこうせん,ちょうおんぱ,メガドレイン,ソーラービーム
13,ビードル,123,64,59,78,48,いとをはく,どくばり,,
14,コクーン,128,54,79,63,53,いとをはく,どくばり,,
15,スピアー,148,109,69,103,73,ダブルニードル,いとをはく,こうそくいどう,メガドレイン
16,ポッポ,123,74,69,84,63,そらをとぶ,スピードスター,ゴッドバード,かげぶんしん
17,ピジョン,146,89,84,99,78,ゴッドバード,こうそくいどう,すなかけ,とっしん
18,ピジョット,166,109,104,119,98,オウムがえし,そらをとぶ,でんこうせっか,つばさでうつ
19,コラッタ,113,85,64,100,53,いかりのまえば,ふぶき,でんこうせっか,いかり
20,ラッタ,138,110,89,125,78,ひっさつまえば,バブルこうせん,きあいだめ,かみなり
21,オニスズメ,123,89,59,98,59,ドリルくちばし,オウムがえし,にらみつける,ゴッドバード
22,オニドリル,148,119,94,128,89,こうそくいどう,オウムがえし,そらをとぶ,かまいたち
23,アーボ,118,89,73,83,68,じしん,メガドレイン,へびにらみ,かみつく
