ID,Name,HP,Attack,Defense,Speed,Special,Move1,Move2,Move3,Move4
1,フシギダネ,132,80,81,77,97,やどりぎのタネ,どくどく,リフレクター,はっぱカッター
2,フシギソウ,147,93,95,92,112,はっぱカッター,ねむりごな,メガドレイン,のしかかり
3,フシギバナ,167,113,115,112,132,やどりぎのタネ,どくのこな,ソーラービーム,メガドレイン
4,ヒトカゲ,126,83,75,97,82,かえんほうしゃ,きりさく,だいもんじ,ほのおのうず
5,リザード,145,95,90,112,97,だいもんじ,カウンター,つるぎのまい,すてみタックル
6,リザードン,165,115,110,132,117,そらをとぶ,あなをほる,ほのおのうず,きりさく
7,ゼニガメ,131,79,97,75,82,なみのり,ふぶき,メガトンパンチ,ロケットずつき
8,カメール,146,94,112,90,97,なみのり,カウンター,じごくぐるま,れいとうビーム
9,カメックス,166,114,132,110,117,ハイドロポンプ,かみつく,かいりき,ちきゅうなげ
10,キャタピー,132,61,67,77,52,いとをはく,たいあたり,,
11,トランセル,137,51,87,62,57,いとをはく,たいあたり,,
12,バタフリー,147,76,82,102,112,サイコキネシス,ちょうおんぱ,メガドレイン,ソーラービーム
13,ビードル,127,66,62,82,52,いとをはく,どくばり,,
14,コクーン,132,56,82,67,57,いとをはく,どくばり,,
15,スピアー,152,111,72,107,77,ダブルニードル,はかいこうせん,こうそくいどう,きあいだめ
16,ポッポ,127,76,72,88,67,そらをとぶ,スピードスター,ゴッドバード,かげぶんしん
17,ピジョン,150,91,87,103,82,ゴッドバード,こうそくいどう,すなかけ,とっしん
18,ピジョット,170,111,107,123,102,オウムがえし,そらをとぶ,でんこうせっか,つばさでうつ
19,コラッタ,117,87,67,104,57,いかりのまえば,ふぶき,でんこうせっか,いかり
20,ラッタ,142,112,92,129,82,ひっさつまえば,はかいこうせん,きあいだめ,いかりのまえば
21,オニスズメ,127,91,62,102,63,ドリルくちばし,オウムがえし,にらみつける,ゴッドバード
22,オニドリル,152,121,97,132,93,こうそくいどう,オウムがえし,そらをとぶ,はかいこうせん
23,アーボ,122,91,76,87,72,じしん,メガドレイン,へびにらみ,かみつく
24,アーボック,147,116,101,112,97,へびにらみ,まきつく,じしん,あなをほる
25,ピカチュウ,122,86,62,122,82,10まんボルト,たたきつける,ものまね,フラッシュ
26,ライチュウ,147,121,87,132,122,かみなり,でんじは,なきごえ,メガトンキック
27,サンド,137,106,117,72,62,じしん,きりさく,ちきゅうなげ,どくばり
28,サンドパン,162,131,142,97,87,あなをほる,スピードスター,すなかけ,かいりき
29,ニドラン♀,142,78,84,73,72,なきごえ,どくどく,すてみタックル,がまん
30,ニドリーナ,157,93,99,88,87,しっぽをふる,れいとうビーム,かみつく,のしかかり
31,ニドクイン,177,113,119,108,107,じわれ,いわなだれ,じごくぐるま,バブルこうせん
32,ニドラン♂,133,88,72,82,72,どくどく,リフレクター,ものまね,10まんボルト
33,ニドリーノ,148,103,89,97,87,かみなり,つのドリル,みだれづき,どくばり
34,ニドキング,168,123,109,117,107,メガトンパンチ,つのでつく,にどげり,バブルこうせん
35,ピッピ,157,76,80,67,92,10まんボルト,サイコキネシス,のしかかり,ふぶき
36,ピクシー,182,101,105,92,117,うたう,でんじは,ちいさくなる,れいとうビーム
37,ロコン,125,72,72,97,97,だいもんじ,リフレクター,ほのおのうず,どくどく
38,キュウコン,160,107,107,132,132,あやしいひかり,あなをほる,だいもんじ,しっぽをふる
39,プリン,202,76,52,52,57,うたう,のしかかり,10まんボルト,れいとうビーム
