Index,Name,Level,HP,Attack,Defense,Special,Speed,Move1,Move2,Move3,Move4
#001,Bulbasaur,50,132,80,81,97,77,Leech Seed,Toxic,Body Slam,Razor Leaf
#002,Ivysaur,50,141,87,89,106,85,Razor Leaf,Sleep Powder,Growth,Double-edge
#003,Venusaur,50,156,103,104,121,102,Leech Seed,Poisonpowder,Solarbeam,Take Down
#004,Charmander,50,126,83,75,82,97,Flamethrower,Slash,Dig,Fire Spin
#005,Charmeleon,50,141,91,86,93,107,Flamethrower,Counter,Seismic Toss,Stun Spore
#006,Charizard,50,154,105,99,106,122,Fly,Sword Dance,Fire Spin,Fire Blast
#007,Squirtle,50,131,79,97,82,75,Surf,Blizzard,Body Slam,Dig
#008,Wartortle,50,140,88,106,91,83,Surf,Strength,Rest,Ice Beam
#009,Blastoise,50,155,104,121,106,100,Hydro Pump,Skull Bash,Withdraw,Seismic Toss
#010,Caterpie,50,132,61,67,52,77,String Shot,Tackle,,
#011,Metapod,50,137,51,87,57,62,String Shot,Tackle,,
#012,Butterfree,50,141,70,76,106,95,Psychic,Supersonic,Mega Drain,Stun Spore
#013,Weedle,50,127,66,62,52,82,String Shot,Poison Sting,,
#014,Kakuna,50,132,56,82,57,67,String Shot,Poison Sting,,
#015,Beedrill,50,146,105,66,71,100,Twineedle,Hyper Beam,Toxic,Focus Energy
#016,Pidgey,50,127,76,72,67,88,Fly,Toxic,Double-edge,Double Team
#017,Pidgeotto,50,147,89,83,79,99,Fly,Quick Attack,Sand-attack,Take Down
#018,Pidgeot,50,161,104,99,93,114,Mirror Move,Fly,Quick Attack,Sand-attack
#019,Rattata,50,117,87,67,57,104,Super Fang,Blizzard,Quick Attack,Hyper Fang
#020,Raticate,50,136,106,86,76,122,Hyper Fang,Hyper Beam,Focus Energy,Thunder
#021,Spearow,50,127,91,62,63,102,Drill Peck,Mirror Move,Double Team,Double-edge
#022,Fearow,50,143,114,89,84,123,Drill Peck,Mirror Move,Fury Attack,Swift
#023,Ekans,50,122,91,76,72,87,Earthquake,Acid,Screech,Body Slam
#024,Arbok,50,138,109,93,88,103,Glare,Wrap,Dig,Strength
#025,Pikachu,50,122,86,62,82,122,Thunderbolt,Slam,Thunder Wave,Seismic Toss
#026,Raichu,50,138,114,79,113,123,Thunder,Thunder Wave,Flash,Mega Kick
#027,Sandshrew,50,134,104,113,59,68,Earthquake,Slash,Seismic Toss,Sand-attack
#028,Sandslash,50,151,121,131,76,87,Dig,Swift,Seismic Toss,Sand-attack
