ID,Name,Gender,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Move1,Move2,Move3,Move4
152,チコリータ,♂,271,174,208,174,206,168,ギガドレイン,のしかかり,ひかりのかべ,どくどく
153,ベイリーフ,♂,287,188,222,188,222,184,はっぱカッター,のしかかり,しんぴのまもり,こうごうせい
154,メガニウム,♂,313,212,248,214,248,206,ソーラービーム,かいりき,どくのこな,リフレクター
155,ヒノアラシ,♂,259,180,164,196,176,208,かえんほうしゃ,ずつき,あなをほる,にほんばれ
156,マグマラシ,♂,283,192,178,222,192,224,だいもんじ,ころがる,かいりき,えんまく
157,バクフーン,♂,309,216,204,266,218,246,かえんぐるま,スピードスター,いわくだき,えんまく
158,ワニノコ,♂,281,206,206,164,172,164,なみのり,ふぶき,きりさく,いやなおと
159,アリゲイツ,♂,297,224,222,180,188,180,ハイドロポンプ,れいとうパンチ,きりさく,こわいかお
160,オーダイル,♂,323,258,248,206,214,202,みずでっぽう,あなをほる,ばくれつパンチ,にらみつける
16,ポッポ,♂,268,173,165,153,153,195,そらをとぶ,おんがえし,はがねのつばさ,すなかけ
17,ピジョン,♂,307,196,188,176,176,220,そらをとぶ,やつあたり,はがねのつばさ,オウムがえし
18,ピジョット,♀,325,216,206,194,194,236,そらをとぶ,スピードスター,はがねのつばさ,ふきとばし
21,オニスズメ,♂,268,203,145,145,145,223,ドリルくちばし,やつあたり,はがねのつばさ,オウムがえし
22,オニドリル,♀,297,244,192,184,184,264,ドリルくちばし,はかいこうせん,おいうち,どくどく
163,ホーホー,♂,308,143,145,155,195,183,そらをとぶ,スピードスター,ゆめくい,さいみんじゅつ
164,ヨルノズク,♀,367,164,162,214,254,204,そらをとぶ,とっしん,ねんりき,みやぶる
19,コラッタ,♂,248,195,155,133,153,227,いかりのまえば,ずつき,シャドーボール,きあいだめ
20,ラッタ,♀,277,226,182,162,202,258,いかりのまえば,ひっさつまえば,おいうち,こわいかお
161,オタチ,♂,264,181,157,163,183,131,ずつき,シャドーボール,ころがる,まるくなる
162,オオタチ,♀,337,216,190,152,172,244,かいりき,れいとうパンチ,かみなりパンチ,ドわすれ
172,ピチュー,♂,234,169,119,163,163,211,かみなり,ずつき,メロメロ,てんしのキッス
25,ピカチュウ,♂,251,186,138,176,156,258,10まんボルト,ずつき[1],アイアンテール,でんじは
26,ライチュウ,♀,279,236,166,234,214,254,かみなり,でんこうせっか,でんじは,しっぽをふる
10,キャタピー,♂,284,149,159,133,133,181,たいあたり,いとをはく,,
11,トランセル,♂,294,129,199,143,143,151,かたくなる,,,
12,バタフリー,♂,294,161,169,229,229,209,かぜおこし,サイコキネシス,はかいこうせん,しびれごな
13,ビードル,♂,274,159,149,133,133,191,どくばり,いとをはく,,
14,コクーン,♂,284,139,189,143,143,161,かたくなる,,,
