move_id,name_eng,name_jp_kana
622/623,Breakneck Blitz,ウルトラダッシュアタック
624/625,All-Out Pummeling,全力無双激烈拳
626/627,Supersonic Skystrike,ファイナルダイブクラッシュ
628/629,Acid Downpour,アシッドポイズンデリート
630/631,Tectonic Rage,ライジングランドオーバー
632/633,Continental Crush,ワールドエンドフォール
634/635,Savage Spin-Out,絶対捕食回転斬
636/637,Never-Ending Nightmare,無限暗夜への誘い
638/639,Corkscrew Crash,超絶螺旋連撃
640/641,Inferno Overdrive,ダイナミックフルフレイム
642/643,Hydro Vortex,スーパーアクアトルネード
644/645,Bloom Doom,ブルームシャインエクストラ
646/647,Gigavolt Havoc,スパーキングギガボルト
648/649,Shattered Psyche,マキシマムサイブレイカー
650/651,Subzero Slammer,レイジングジオフリーズ
652/653,Devastating Drake,アルティメットドラゴンバーン
654/655,Black Hole Eclipse,ブラックホールイクリプス
656/657,Twinkle Tackle,ラブリースターインパクト
658,Catastropika,ひっさつのピカチュート
695,Sinister Arrow Raid,シャドーアローズストライク
696,Malicious Moonsault,ハイパーダーククラッシャー
697,Oceanic Operetta,わだつみのシンフォニア
698,Guardian of Alola,ガーディアン・デ・アローラ
699,Soul-Stealing 7-Star Strike,七星奪魂腿
700,Stoked Sparksurfer,ライトニングサーフライド
701,Pulverizing Pancake,ほんきをだすこうげき
702,Extreme Evoboost,ナインエボルブースト
703,Genesis Supernova,オリジンズスーパーノヴァ
719,"10,000,000 Volt Thunderbolt",1000まんボルト
723,Light That Burns the Sky,天焦がす滅亡の光
724,Searing Sunraze Smash,サンシャインスマッシャー
725,Menacing Moonraze Maelstrom,ムーンライトブラスター
726,Let's Snuggle Forever,ぽかぼかフレンドタイム
727,Splintered Stormshards,ラジアルエッジストーム
728,Clangorous Soulblaze,ブレイジングソウルビート
