ID,Name,HP,Attack,Defense,Speed,Special,Move1,Move2,Move3,Move4
15,スピアー,88,62,48,59,51,きあいだめ,ダブルニードル,メガドレイン,かげぶんしん
22,オニドリル,88,68,53,74,50,にらみつける,そらをとぶ,オウムがえし,ドリルくちばし
25,ピカチュウ,70,47,42,68,54,10まんボルト,でんじは,でんこうせっか,スピードスター
31,ニドクイン,103,63,66,59,59,のしかかり,どくどく,ねむる,じしん
34,ニドキング,97,69,60,65,59,すてみタックル,みがわり,かみなり,じしん
51,ダグトリオ,70,62,44,86,56,ひっかく,なきごえ,あなをほる,すなかけ
57,オコリザル,88,77,50,71,50,じごくぐるま,きあいだめ,メガトンキック,かいりき
59,ウインディ,103,80,62,71,62,かげぶんしん,だいもんじ,にらみつける,とっしん
65,フーディン,82,44,41,86,95,リフレクター,かなしばり,ちきゅうなげ,サイケこうせん
68,カイリキー,103,92,62,47,53,メガトンパンチ,ちきゅうなげ,にらみつける,かいりき
76,ゴローニャ,97,80,92,41,47,メガトンパンチ,いわなだれ,じばく,かたくなる
82,レアコイル,79,50,71,56,86,たいあたり,ソニックブーム,10まんボルト,ちょうおんぱ
91,パルシェン,79,71,122,56,65,たいあたり,ちょうおんぱ,からではさむ,オーロラビーム
94,ゲンガー,85,53,50,80,92,したでなめる,あやしいひかり,ナイトヘッド,さいみんじゅつ
95,イワーク,70,51,110,56,42,だいばくはつ,しめつける,じしん,いかり
97,スリーパー,100,57,56,54,83,サイコキネシス,かなしばり,ずつき,どくガス
101,マルマイン,85,44,56,98,62,かげぶんしん,かみなり,だいばくはつ,ひかりのかべ
103,ナッシー,106,71,65,47,89,たまなげ,さいみんじゅつ,どくどく,ふみつけ
113,ラッキー,199,17,17,44,77,タマゴばくだん,おうふくビンタ,うたう,タマゴうみ
115,ガルーラ,112,71,62,68,38,れんぞくパンチ,かみなり,じしん,のしかかり
121,スターミー,85,69,65,83,74,たいあたり,バブルこうせん,かげぶんしん,じこさいせい
123,ストライク,91,80,62,77,47,つるぎのまい,どくどく,かげぶんしん,きりさく
124,ルージュラ,88,44,35,71,71,ゆびをふる,あくまのキッス,サイコウェーブ,おうふくビンタ
127,カイロス,88,89,74,65,47,はさむ,ちきゅうなげ,ハサミギロチン,つるぎのまい
128,ケンタロス,94,74,71,80,56,しっぽをふる,ふみつけ,すてみタックル,れいとうビーム
130,ギャラドス,106,89,61,62,74,なみのり,のしかかり,かみつく,りゅうのいかり
131,ラプラス,127,65,62,50,71,みずでっぽう,うたう,しろいきり,のしかかり
132,メタモン,77,42,42,42,42,へんしん,,,
134,シャワーズ,127,53,50,53,80,たいあたり,すなかけ,でんこうせっか,バブルこうせん
135,サンダース,88,53,50,92,80,のしかかり,すなかけ,でんこうせっか,でんきショック
136,ブースター,88,92,50,53,80,たいあたり,すなかけ,でんこうせっか,だいもんじ
142,プテラ,97,77,53,92,50,はかいこうせん,こうそくいどう,そらをとぶ,とっしん
143,カビゴン,145,80,53,32,53,ゆびをふる,がまん,ねむる,のしかかり
