ID,Name,HP,Attack,Defense,Speed,Special,Move1,Move2,Move3,Move4
1,フシギダネ,126,76,76,72,91,やどりぎのタネ,どくどく,リフレクター,はっぱカッター
2,フシギソウ,141,89,90,87,106,はっぱカッター,ねむりごな,メガドレイン,のしかかり
4,ヒトカゲ,120,79,70,92,76,かえんほうしゃ,きりさく,だいもんじ,ほのおのうず
5,リザード,139,91,85,107,91,だいもんじ,カウンター,つるぎのまい,すてみタックル
6,リザードン,159,111,105,127,111,そらをとぶ,あなをほる,ほのおのうず,メガトンパンチ
7,ゼニガメ,125,75,92,70,76,なみのり,ふぶき,メガトンパンチ,ロケットずつき
8,カメール,140,90,107,85,91,なみのり,カウンター,じごくぐるま,れいとうビーム
9,カメックス,160,110,127,105,111,ハイドロポンプ,ものまね,かいりき,どくどく
10,キャタピー,126,57,62,72,46,たいあたり,いとをはく,,
11,トランセル,131,47,82,57,51,いとをはく,たいあたり,,
12,バタフリー,141,72,77,97,106,サイケこうせん,ちょうおんぱ,メガドレイン,ソーラービーム
13,ビードル,121,62,57,77,46,いとをはく,どくばり,,
14,コクーン,126,52,77,62,51,いとをはく,どくばり,,
15,スピアー,146,107,67,102,71,ダブルニードル,はかいこうせん,こうそくいどう,メガドレイン
16,ポッポ,121,72,67,83,61,そらをとぶ,スピードスター,ゴッドバード,かげぶんしん
17,ピジョン,144,87,82,98,76,ゴッドバード,こうそくいどう,すなかけ,とっしん
18,ピジョット,164,107,102,118,96,オウムがえし,そらをとぶ,でんこうせっか,つばさでうつ
19,コラッタ,111,83,62,99,51,いかりのまえば,ふぶき,でんこうせっか,いかり
20,ラッタ,136,108,87,124,76,ひっさつまえば,バブルこうせん,きあいだめ,かみなり
21,オニスズメ,121,87,57,97,57,ドリルくちばし,オウムがえし,にらみつける,ゴッドバード
22,オニドリル,146,117,92,127,87,こうそくいどう,オウムがえし,そらをとぶ,かまいたち
23,アーボ,116,87,71,82,66,じしん,メガドレイン,へびにらみ,かみつく
24,アーボック,141,112,96,107,91,へびにらみ,まきつく,ようかいえき,あなをほる
25,ピカチュウ,116,82,57,117,76,10まんボルト,たたきつける,ものまね,フラッシュ
26,ライチュウ,141,117,82,127,116,かみなり,でんじは,なきごえ,メガトンキック
