ID,Name,HP,Attack,Defense,Speed,Special,Move1,Move2,Move3,Move4
1,フシギダネ,42,23,23,22,28,やどりぎのタネ,どくどく,メガドレイン,たいあたり
2,フシギソウ,47,27,28,27,33,つるぎのまい,のしかかり,ソーラービーム,やどりぎのタネ
4,ヒトカゲ,40,24,22,28,24,ひのこ,いかり,だいもんじ,なきごえ
5,リザード,46,28,26,33,28,つるぎのまい,メガトンキック,どくどく,ひのこ
7,ゼニガメ,42,23,28,22,24,たいあたり,あなをほる,バブルこうせん,ふぶき
8,カメール,46,28,33,26,28,のしかかり,がまん,なみのり,リフレクター
10,キャタピー,42,18,19,22,15,いとをはく,たいあたり,,
11,トランセル,44,15,25,18,16,たいあたり,いとをはく,,
12,バタフリー,47,22,24,30,33,どくのこな,はかいこうせん,サイコウェーブ,とっしん
13,ビードル,41,19,18,24,15,いとをはく,どくばり,,
14,コクーン,42,16,24,19,16,いとをはく,どくばり,,
15,スピアー,48,33,21,31,22,みだれづき,かげぶんしん,つるぎのまい,はかいこうせん
16,ポッポ,41,22,21,26,19,リフレクター,そらをとぶ,かぜおこし,すてみタックル
17,ピジョン,48,27,25,30,24,ゴッドバード,とっしん,でんこうせっか,かぜおこし
19,コラッタ,38,26,19,30,16,かみなり,でんこうせっか,ふぶき,あなをほる
20,ラッタ,45,33,27,38,24,ひっさつまえば,どくどく,れいとうビーム,スピードスター
21,オニスズメ,41,27,18,30,18,みだれづき,かげぶんしん,ゴッドバード,ものまね
22,オニドリル,48,36,28,39,27,そらをとぶ,かげぶんしん,ねむる,ものまね
23,アーボ,39,27,22,25,21,まきつく,どくばり,じしん,にらみつける
25,ピカチュウ,39,25,18,36,24,ねむる,かげぶんしん,10まんボルト,でんじは
26,ライチュウ,47,36,25,39,36,かみなり,でんじは,ちきゅうなげ,なきごえ
27,サンド,44,31,34,21,18,すなかけ,じしん,じごくぐるま,つるぎのまい
29,ニドラン♀,45,23,24,21,21,どくどく,なきごえ,ふぶき,たいあたり
30,ニドリーナ,50,27,29,26,25,どくどく,れいとうビーム,バブルこうせん,つのドリル
31,ニドクイン,56,33,35,32,31,つのドリル,じわれ,なみのり,リフレクター
32,ニドラン♂,43,26,21,24,21,ふぶき,どくばり,すてみタックル,どくどく
33,ニドリーノ,47,30,26,28,25,つのドリル,れいとうビーム,のしかかり,つのでつく
34,ニドキング,53,36,32,34,31,すてみタックル,じしん,みずでっぽう,いわなだれ
35,ピッピ,50,22,23,19,27,でんじは,メガトンパンチ,サイコウェーブ,ゆびをふる
36,ピクシー,57,30,31,27,34,ゆびをふる,トライアタック,うたう,かげぶんしん
37,ロコン,40,21,21,28,28,ひのこ,だいもんじ,かげぶんしん,あなをほる
38,キュウコン,51,32,31,39,39,あなをほる,ひのこ,リフレクター,はかいこうせん
39,プリン,63,22,15,15,16,うたう,のしかかり,でんじは,れいとうビーム
40,プクリン,71,30,22,22,24,かみなり,メガトンパンチ,かげぶんしん,うたう
41,ズバット,41,22,19,25,21,ちょうおんぱ,かみつく,メガドレイン,どくどく
43,ナゾノクサ,42,24,25,18,31,どくのこな,つるぎのまい,メガドレイン,とっしん
46,パラス,39,30,25,16,25,しびれごな,あなをほる,メガドレイン,ソーラービーム
48,コンパン,47,25,24,22,21,ちょうおんぱ,サイコキネシス,フラッシュ,かげぶんしん
50,ディグダ,32,25,16,37,22,じしん,かげぶんしん,ものまね,じわれ
52,ニャース,41,22,19,36,21,ネコにこばん,10まんボルト,のしかかり,ねむる
54,コダック,44,24,23,25,24,バブルこうせん,ふぶき,あなをほる,ものまね
56,マンキー,41,33,19,30,19,けたぐり,からてチョップ,あなをほる,カウンター
58,ガーディ,45,30,22,27,24,ほえる,だいもんじ,のしかかり,いかり
59,ウインディ,56,42,33,37,33,あなをほる,すてみタックル,ひのこ,かげぶんしん
60,ニョロモ,41,24,21,36,21,みずでっぽう,のしかかり,ふぶき,どくどく
61,ニョロゾ,48,28,28,36,24,サイコウェーブ,れいとうビーム,ゆびをふる,じしん
62,ニョロボン,56,34,37,30,30,なみのり,メガトンパンチ,かげぶんしん,どくどく
63,ケーシィ,36,15,13,36,40,サイコキネシス,ゆびをふる,かげぶんしん,ねむる
64,ユンゲラー,41,19,18,40,45,ねんりき,フラッシュ,かげぶんしん,ちきゅうなげ
65,フーディン,45,24,22,45,49,サイコウェーブ,ゆびをふる,でんじは,リフレクター
66,ワンリキー,50,33,24,19,19,からてチョップ,メガトンパンチ,じしん,いわなだれ
69,マダツボミ,44,31,19,21,30,どくのこな,まきつく,ソーラービーム,リフレクター
72,メノクラゲ,41,21,19,30,39,ちょうおんぱ,ふぶき,リフレクター,まきつく
73,ドククラゲ,53,30,28,39,45,ちょうおんぱ,まきつく,どくどく,メガドレイン
74,イシツブテ,41,33,39,15,18,メガトンパンチ,じしん,ゆびをふる,だいばくはつ
77,ポニータ,44,34,25,36,28,だいもんじ,つのドリル,リフレクター,スピードスター
79,ヤドン,56,28,28,13,21,サイコキネシス,なみのり,でんじは,あなをほる
81,コイル,36,19,30,22,37,でんじは,10まんボルト,フラッシュ,みがわり
83,カモネギ,44,28,25,27,26,すなかけ,かげぶんしん,そらをとぶ,リフレクター
86,パウワウ,48,22,25,22,30,なみのり,つのドリル,どくどく,ふぶき
90,シェルダー,38,28,39,21,22,ふぶき,トライアタック,だいばくはつ,なみのり
91,パルシェン,44,37,63,30,34,ちょうおんぱ,なみのり,リフレクター,れいとうビーム
92,ゴース,38,19,18,33,39,あやしいひかり,10まんボルト,ナイトヘッド,だいばくはつ
93,ゴースト,42,24,22,37,43,あやしいひかり,したでなめる,ナイトヘッド,じばく
94,ゲンガー,47,28,27,42,48,あやしいひかり,ナイトヘッド,したでなめる,ゆびをふる
95,イワーク,39,22,57,30,18,しめつける,のしかかり,あなをほる,じばく
96,スリープ,47,23,22,21,36,さいみんじゅつ,サイコキネシス,ゆめくい,フラッシュ
98,クラブ,38,40,36,24,16,つるぎのまい,すてみタックル,なみのり,にらみつける
99,キングラー,45,48,43,31,24,バブルこうせん,とっしん,いあいぎり,のしかかり
100,ビリリダマ,41,18,24,39,25,だいばくはつ,いやなおと,10まんボルト,でんじは
102,タマタマ,47,21,33,21,27,だいばくはつ,かげぶんしん,タマゴばくだん,リフレクター
103,ナッシー,57,37,34,25,46,さいみんじゅつ,ソーラービーム,メガドレイン,かげぶんしん
104,カラカラ,44,24,37,19,21,ホネこんぼう,じしん,ちきゅうなげ,いかり
108,ベロリンガ,56,25,31,18,27,ふみつけ,ちょうおんぱ,つるぎのまい,メガトンパンチ
109,ドガース,41,28,37,19,27,だいばくはつ,どくどく,10まんボルト,ものまね
111,サイホーン,53,34,37,16,18,いわなだれ,じしん,ロケットずつき,じわれ
113,ラッキー,104,10,10,24,40,タマゴうみ,カウンター,かげぶんしん,10まんボルト
116,タッツー,38,21,30,27,30,あわ,ふぶき,どくどく,スピードスター
117,シードラ,45,28,37,34,37,えんまく,なみのり,れいとうビーム,かげぶんしん
118,トサキント,42,29,27,28,24,しっぽをふる,すてみタックル,どくどく,つのドリル
120,ヒトデマン,38,22,25,34,30,たいあたり,サイコキネシス,10まんボルト,でんじは
121,スターミー,47,31,34,43,39,なみのり,トライアタック,かみなり,みがわり
122,バリヤード,41,22,28,36,39,でんじは,サイコキネシス,リフレクター,ゆびをふる
123,ストライク,50,42,33,40,25,でんこうせっか,つるぎのまい,はかいこうせん,いあいぎり
127,カイロス,48,46,39,34,25,すてみタックル,じごくぐるま,がまん,つるぎのまい
129,コイキング,35,12,25,33,15,はねる,たいあたり,,
130,ギャラドス,57,46,32,33,39,なみのり,リフレクター,だいもんじ,のしかかり
131,ラプラス,68,34,33,27,37,なみのり,のしかかり,なきごえ,つのドリル
132,メタモン,43,23,23,23,23,へんしん,,,
137,ポリゴン,48,27,30,21,31,テクスチャー,かくばる,トライアタック,かげぶんしん
147,ミニリュウ,41,28,22,24,24,なみのり,ふぶき,どくどく,でんじは
