Index,Name,Level,HP,Attack,Defense,Special,Speed,Move1,Move2,Move3,Move4
#001,Bulbasaur,50,128,78,78,93,73,Leech Seed,Toxic,Body Slam,Razor Leaf
#002,Ivysaur,50,143,91,92,108,88,Razor Leaf,Sleep Powder,Mega Drain,Double-edge
#003,Venusaur,50,163,111,112,128,108,Leech Seed,Poisonpowder,Solarbeam,Take Down
#004,Charmander,50,122,81,72,78,93,Flamethrower,Slash,Seismic Toss,Dig
#005,Charmeleon,50,141,93,87,93,108,Fire Blast,Counter,Dragon Rage,Slash
#006,Charizard,50,161,113,107,113,128,Fly,Dig,Fire Spin,Mimic
#007,Squirtle,50,127,77,94,78,71,Surf,Blizzard,Dig,Seismic Toss
#008,Wartortle,50,142,92,109,93,86,Surf,Counter,Submission,Ice Beam
#009,Blastoise,50,162,112,129,113,106,Hydro Pump,Bide,Strength,Withdraw
#010,Caterpie,50,128,59,64,48,73,Tackle,String Shot,,
#011,Metapod,50,133,49,84,53,58,Tackle,String Shot,,
#012,Butterfree,50,143,74,79,108,98,Psychic,Supersonic,Hyper Beam,Mega Drain
#013,Weedle,50,123,64,59,48,78,String Shot,Poison Sting,,
#014,Kakuna,50,128,54,79,53,63,String Shot,Poison Sting,,
#015,Beedrill,50,148,109,69,73,103,Twineedle,Focus Energy,Double-edge,Mega Drain
#016,Pidgey,50,123,74,69,63,84,Fly,Double-edge,Toxic,Double Team
#017,Pidgeotto,50,146,89,84,78,99,Fly,Agility,Sand-attack,Take Down
#018,Pidgeot,50,166,109,104,98,119,Mirror Move,Fly,Quick Attack,Hyper Beam
#019,Rattata,50,113,85,64,53,100,Super Fang,Hyper Fang,Blizzard,Dig
#020,Raticate,50,138,110,89,78,125,Hyper Fang,Bubblebeam,Focus Energy,Dig
#021,Spearow,50,123,89,59,59,98,Drill Peck,Mirror Move,Double Team,Double-edge
#022,Fearow,50,148,119,94,89,128,Agility,Double Team,Fly,Swift
#023,Ekans,50,118,89,73,68,83,Earthquake,Strength,Glare,Acid
#024,Arbok,50,143,114,98,93,108,Glare,Rock Slide,Acid,Dig
#025,Pikachu,50,118,84,59,78,118,Thunderbolt,Seismic Toss,Thunder Wave,Flash
#026,Raichu,50,143,119,84,118,128,Thunder,Thunder Wave,Growl,Mega Kick
#027,Sandshrew,50,133,104,114,58,68,Earthquake,Slash,Seismic Toss,Sand-attack
#028,Sandslash,50,158,129,139,83,93,Dig,Rock Slide,Sand-attack,Fury Swipes
#029,Nidoran♀,50,138,76,81,68,69,Body Slam,Toxic,Thunderbolt,Blizzard
#030,Nidorina,50,153,91,96,83,84,Thunder,Ice Beam,Toxic,Body Slam
#031,Nidoqueen,50,173,111,116,103,104,Double Kick,Toxic,Body Slam,Thunder
#032,Nidoran♂,50,129,86,69,68,78,Horn Drill,Toxic,Thunderbolt,Blizzard
#033,Nidorino,50,144,101,86,83,93,Toxic,Horn Drill,Ice Beam,Double-edge
#034,Nidoking,50,164,121,106,103,113,Earthquake,Horn Drill,Double Kick,Poison Sting
#035,Clefairy,50,153,74,77,88,63,Thunderbolt,Blizzard,Body Slam,Metronome
#036,Clefable,50,178,99,102,113,88,Sing,Metronome,Tri Attack,Ice Beam
#037,Vulpix,50,121,70,69,93,93,Flamethrower,Reflect,Confuse Ray,Dig
#038,Ninetales,50,156,105,104,128,128,Confuse Ray,Dig,Fire Spin,Bide
#039,Jigglypuff,50,198,74,49,53,48,Sing,Body Slam,Seismic Toss,Psychic
#040,Wigglytuff,50,223,99,74,78,73,Sing,Strength,Disable,Psychic
#041,Zubat,50,123,74,64,68,83,Confuse Ray,Mega Drain,Toxic,Double-edge
#042,Golbat,50,158,109,99,103,118,Confuse Ray,Mega Drain,Hyper Beam,Haze
#043,Oddish,50,128,79,84,103,58,Stun Spore,Petal Dance,Mega Drain,Double-edge
#044,Gloom,50,143,94,99,113,68,Stun Spore,Petal Dance,Acid,Take Down
#045,Vileplume,50,158,109,114,128,78,Petal Dance,Acid,Cut,Stun Spore
#046,Paras,50,118,99,84,83,53,Spore,Slash,Dig,Mega Drain
#047,Parasect,50,143,124,109,108,58,Spore,Dig,Growth,Mega Drain
#048,Venonat,50,143,84,79,68,73,Psychic,Mega Drain,Double-edge,Toxic
#049,Venomoth,50,153,94,89,118,118,Psychic,Supersonic,Swift,Toxic
#050,Diglett,50,93,84,54,73,123,Earthquake,Slash,Fissure,Rock Slide
#051,Dugtrio,50,118,109,79,98,148,Dig,Sand-attack,Rock Slide,Substitute
#052,Meowth,50,123,74,64,68,118,Slash,Thunderbolt,Bubblebeam,Double Team
#053,Persian,50,148,99,89,93,143,Thunderbolt,Double-edge,Bide,Screech
#054,Psyduck,50,133,81,77,78,83,Surf,Seismic Toss,Dig,Blizzard
#055,Golduck,50,163,111,107,108,113,Disable,Surf,Confusion,Mega Kick
#056,Mankey,50,123,109,64,63,98,Submission,Dig,Seismic Toss,Strength
#057,Primeape,50,148,134,89,88,123,Seismic Toss,Screech,Mega Punch,Low Kick
#058,Growlithe,50,138,99,74,78,88,Flamethrower,Body Slam,Reflect,Dig
#059,Arcanine,50,173,139,109,108,123,Fire Blast,Take Down,Leer,Agility
#060,Poliwag,50,123,79,69,68,118,Body Slam,Blizzard,Surf,Amnesia
#061,Poliwhirl,50,148,94,94,78,118,Hypnosis,Submission,Mimic,Surf
#062,Poliwrath,50,173,114,124,98,98,Hypnosis,Submission,Mimic,Surf
#063,Abra,50,108,49,44,133,118,Psychic,Seismic Toss,Reflect,Toxic
#064,Kadabra,50,123,64,59,148,133,Psybeam,Thunder Wave,Recover,Seismic Toss
#065,Alakazam,50,138,79,74,163,148,Confusion,Reflect,Kinesis,Dig
#066,Machop,50,153,109,79,63,63,Submission,Rock Slide,Earthquake,Body Slam
#067,Machoke,50,163,129,99,78,73,Earthquake,Submission,Strength,Focus Energy
#068,Machamp,50,173,159,109,93,83,Karate Chop,Low Kick,Fire Blast,Dig
#069,Bellsprout,50,133,104,64,98,68,Acid,Toxic,Growth,Razor Leaf
#070,Weepinbell,50,148,119,79,113,83,Razor Leaf,Acid,Slam,Toxic
#071,Victreebel,50,163,134,94,128,98,Mega Drain,Acid,Wrap,Toxic
#072,Tentacool,50,123,69,64,128,98,Surf,Mega Drain,Acid,Toxic
#073,Tentacruel,50,163,99,94,148,128,Acid,Screech,Hydro Pump,Cut
#074,Geodude,50,123,109,129,58,48,Earthquake,Body Slam,Rock Slide,Exploison
#075,Graveler,50,138,124,144,73,63,Rock Slide,Earthquake,Strength,Selfdestruct
#076,Golem,50,163,139,159,83,73,Rock Throw,Mega Punch,Dig,Selfdestruct
#077,Ponyta,50,133,114,84,93,118,Fire Blast,Reflect,Horn Drill,Body Slam
#078,Rapidash,50,148,129,99,108,133,Stomp,Agility,Toxic,Fire Spin
#079,Slowpoke,50,173,94,94,68,43,Surf,Psychic,Thunder Wave,Amnesia
#080,Slowbro,50,178,104,139,108,58,Surf,Headbutt,Dig,Disable
#081,Magnemite,50,108,64,99,123,73,Thunderbolt,Thunder Wave,Supersonic,Double-edge
#082,Magneton,50,133,89,124,148,98,Thunderbolt,Thunder Wave,Supersonic,Double-edge
#083,Farfetch'd,50,135,94,84,86,88,Slash,Sand-attack,Toxic,Fly
#084,Doduo,50,118,114,74,63,103,Drill Peck,Tri Attack,Reflect,Substitute
#085,Dodrio,50,143,139,99,88,128,Fly,Tri Attack,Reflect,Substitute
#086,Seel,50,148,74,84,98,73,Ice Beam,Strength,Double Team,Surf
#087,Dewgong,50,173,99,109,123,98,Take Down,Aurora Beam,Rest,Surf
#088,Grimer,50,163,109,79,68,53,Sludge,Body Slam,Exploison,Mega Drain
#089,Muk,50,188,134,104,93,78,Sludge,Thunder,Mega Drain,Screech
#090,Shellder,50,113,94,129,73,68,Ice Beam,Exploison,Surf,Tri Attack
#091,Cloyster,50,133,124,209,113,98,Aurora Beam,Selfdestruct,Clamp,Spike Cannon
#092,Gastly,50,113,64,59,128,108,Psychic,Night Shade,Exploison,Confuse Ray
#093,Haunter,50,128,79,74,143,123,Psychic,Thunderbolt,Selfdestruct,Confuse Ray
#094,Gengar,50,143,94,89,158,138,Hypnosis,Dream Eater,Thunderbolt,Confuse Ray
#095,Onix,50,118,74,189,58,98,Earthquake,Rock Slide,Exploison,Screech
#096,Drowzee,50,143,77,74,118,70,Hypnosis,Seismic Toss,Psychic,Reflect
#097,Hypno,50,168,102,99,143,95,Hypnosis,Dream Eater,Counter,Headbutt
#098,Krabby,50,113,134,119,53,78,Crabhammer,Toxic,Body Slam,Blizzard
#099,Kingler,50,138,159,144,78,103,Crabhammer,Strength,Bide,Leer
#100,Voltorb,50,123,59,79,83,128,Thunderbolt,Thunder Wave,Reflect,Exploison
#101,Electrode,50,143,79,99,108,168,Thunder,Toxic,Swift,Selfdestruct
#102,Exeggcute,50,143,69,109,88,68,Leech Seed,Solarbeam,Egg Bomb,Psychic
#103,Exeggutor,50,178,124,114,153,83,Leech Seed,Hypnosis,Mega Drain,Egg Bomb
#104,Cubone,50,133,79,124,68,63,Bonemerang,Body Slam,Ice Beam,Seismic Toss
#105,Marowak,50,143,109,139,78,73,Bonemerang,Thrash,Fire Blast,Focus Energy
#106,Hitmonlee,50,133,149,82,63,115,Hi Jump Kick,Strength,Counter,Focus Energy
#107,Hitmonchan,50,133,134,108,63,104,Submission,Strength,Ice Punch,Thunderpunch
#108,Lickitung,50,173,84,104,88,58,Earthquake,Body Slam,Screech,Supersonic
#109,Koffing,50,123,94,124,88,63,Sludge,Toxic,Thunderbolt,Fire Blast
#110,Weezing,50,148,119,149,113,88,Sludge,Hyper Beam,Haze,Smokescreen
#111,Rhyhorn,50,163,114,124,58,53,Body Slam,Earthquake,Thunder,Substitute
#112,Rhydon,50,188,159,149,73,68,Strength,Dig,Surf,Substitute
#113,Chansey,50,333,34,34,133,78,Ice Beam,Thunder,Double-edge,Reflect
#114,Tangela,50,148,84,144,128,88,Poisonpowder,Take Down,Mega Drain,Growth
#115,Kangaskhan,50,188,124,109,68,118,Dizzy Punch,Rock Slide,Leer,Thunderbolt
#116,Horsea,50,113,69,99,98,88,Hydro Pump,Toxic,Smokescreen,Ice Beam
#117,Seadra,50,138,94,124,123,113,Smokescreen,Hydro Pump,Swift,Agility
#118,Goldeen,50,128,96,89,78,91,Surf,Toxic,Double-edge,Ice Beam
#119,Seaking,50,163,121,94,108,96,Waterfall,Blizzard,Supersonic,Horn Attack
#120,Staryu,50,113,74,84,98,113,Thunderbolt,Recover,Surf,Psychic
#121,Starmie,50,143,104,114,128,143,Bubblebeam,Thunder,Minimize,Tri Attack
#122,Mr. Mime,50,123,74,94,128,118,Barrier,Psychic,Seismic Toss,Counter
#123,Scyther,50,153,139,109,83,133,Double Team,Wing Attack,Slash,Toxic
#124,Jynx,50,148,79,64,123,123,Lovely Kiss,Ice Punch,Thrash,Psychic
#125,Electabuzz,50,148,112,86,113,133,Thunderpunch,Flash,Thunder Wave,Seismic Toss
#126,Magmar,50,148,124,86,113,121,Confuse Ray,Fire Punch,Smokescreen,Strength
#127,Pinsir,50,148,154,129,83,113,Slash,Mimic,Harden,Guillotine
#128,Tauros,50,158,129,124,98,138,Strength,Bide,Fire Blast,Tail Whip
#129,Magikarp,50,103,39,84,48,108,Splash,Tackle,,
#130,Gyarados,50,178,154,108,128,109,Dragon Rage,Hydro Pump,Take Down,Leer
#131,Lapras,50,213,114,109,123,88,Confuse Ray,Sing,Ice Beam,Bubblebeam
#132,Ditto,50,131,77,77,76,76,Transform,,,
#133,Eevee,50,138,84,79,93,83,Toxic,Body Slam,Sand-attack,Focus Energy
#134,Vaporeon,50,213,94,89,138,93,Acid Armor,Aurora Beam,Surf,Quick Attack
#135,Jolteon,50,148,94,89,138,158,Thunder,Toxic,Pin Missile,Double Kick
#136,Flareon,50,148,159,89,138,93,Fire Blast,Sand-attack,Toxic,Double-edge
#137,Porygon,50,148,89,99,103,68,Conversion,Psychic,Recover,Tri Attack
#138,Omanyte,50,118,69,129,118,63,Blizzard,Surf,Double-edge,Double Team
#139,Omastar,50,153,89,154,143,83,Hydro Pump,Spike Cannon,Leer,Withdraw
#140,Kabuto,50,113,109,119,73,83,Slash,Hydro Pump,Ice Beam,Toxic
#141,Kabutops,50,143,144,134,98,108,Hydro Pump,Swords Dance,Submission,Take Down
#142,Aerodactyl,50,163,134,94,88,158,Supersonic,Take Down,Reflect,Fly
#143,Snorlax,50,243,139,94,93,58,Thunder,Headbutt,Rest,Bide
#144,Articuno,50,173,114,129,153,113,Ice Beam,Sky Attack,Rage,Mimic
#145,Zapdos,50,173,119,114,153,128,Thunder,Sky Attack,Substitute,Flash
#146,Moltres,50,173,129,119,153,118,Fire Blast,Sky Attack,Take Down,Bide
#147,Dratini,50,124,93,74,78,78,Body Slam,Dragon Rage,Blizzard,Thunder Wave
#148,Dragonair,50,144,113,94,98,98,Hyper Beam,Thunderbolt,Fire Blast,Thunder Wave
#149,Dragonite,50,174,163,124,128,108,Slam,Mimic,Surf,Substitute
