ID,Name,Gender,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Move1,Move2,Move3,Move4
152,チコリータ,♂,135,84,101,84,100,81,ギガドレイン,のしかかり,ひかりのかべ,どくどく
153,ベイリーフ,♂,145,93,110,93,110,91,はっぱカッター,のしかかり,しんぴのまもり,こうごうせい
154,メガニウム,♂,158,105,123,106,123,102,ソーラービーム,かいりき,どくのこな,リフレクター
155,ヒノアラシ,♂,129,87,79,95,85,101,かえんほうしゃ,ずつき,あなをほる,にほんばれ
156,マグマラシ,♂,143,95,88,110,95,111,だいもんじ,ころがる,かいりき,えんまく
157,バクフーン,♂,156,107,101,132,108,122,かえんぐるま,スピードスター,いわくだき,えんまく
158,ワニノコ,♂,140,100,100,79,83,79,なみのり,ふぶき,きりさく,いやなおと
159,アリゲイツ,♂,150,111,110,89,93,89,なみのり,れいとうパンチ,きりさく,こわいかお
160,オーダイル,♂,159,123,119,98,102,97,みずでっぽう,あなをほる,ばくれつパンチ,にらみつける
16,ポッポ,♂,132,82,78,72,72,93,そらをとぶ,おんがえし,はがねのつばさ,すなかけ
17,ピジョン,♂,153,95,91,85,85,107,そらをとぶ,やつあたり,はがねのつばさ,オウムがえし
18,ピジョット,♀,164,107,102,96,96,117,そらをとぶ,スピードスター,はがねのつばさ,ふきとばし
21,オニスズメ,♂,132,97,68,68,68,107,ドリルくちばし,やつあたり,はがねのつばさ,オウムがえし
22,オニドリル,♀,150,121,95,91,91,131,ドリルくちばし,はかいこうせん,おいうち,どくどく
163,ホーホー,♂,152,67,68,73,93,87,そらをとぶ,スピードスター,ゆめくい,さいみんじゅつ
164,ヨルノズク,♀,185,81,80,106,126,101,そらをとぶ,とっしん,ねんりき,みやぶる
19,コラッタ,♂,122,93,73,62,72,109,いかりのまえば,ずつき,シャドーボール,きあいだめ
20,ラッタ,♀,140,112,90,80,100,128,いかりのまえば,ひっさつまえば,おいうち,こわいかお
161,オタチ,♂,129,85,73,76,86,60,ずつき,シャドーボール,ころがる,まるくなる
162,オオタチ,♀,170,107,94,75,85,121,かいりき,れいとうパンチ,かみなりパンチ,ドわすれ
172,ピチュー,♂,114,79,54,76,76,100,かみなり,ずつき,メロメロ,てんしのキッス
25,ピカチュウ,♂,125,90,66,85,75,126,10まんボルト,ずつき,アイアンテール,でんじは
26,ライチュウ,♀,141,117,82,116,106,126,かみなり,でんこうせっか,でんじは,しっぽをふる
10,キャタピー,♂,139,69,74,61,61,85,たいあたり,いとをはく,,
11,トランセル,♂,144,59,94,66,66,70,かたくなる,,,
12,バタフリー,♂,147,78,82,112,112,102,かぜおこし,サイコキネシス,はかいこうせん,しびれごな
13,ビードル,♂,134,74,69,61,61,90,どくばり,いとをはく,,
14,コクーン,♂,139,64,89,66,66,75,かたくなる,,,
15,スピアー,♂,152,113,72,77,112,107,ダブルニードル,ヘドロばくだん,おいうち,きあいだめ
165,レディバ,♂,132,57,68,77,117,92,すてみタックル,れいとうパンチ,リフレクター,しんぴのまもり
166,レディアン,♂,142,68,82,87,142,117,ギガドレイン,あなをほる,はかいこうせん,ちょうおんぱ
167,イトマル,♂,134,99,79,81,81,70,ヘドロばくだん,きゅうけつ,あなをほる,ナイトヘッド
168,アリアドス,♂,157,123,102,92,92,72,ヘドロばくだん,まもる,どくどく,クモのす
74,イシツブテ,♂,130,115,136,65,65,56,じしん,ころがる,だいばくはつ,まるくなる
75,ゴローン,♂,142,128,147,77,77,67,じしん,ころがる,じばく,すなあらし
76,ゴローニャ,♀,161,137,157,81,91,71,マグニチュード,いわおとし,いわくだき,かたくなる
41,ズバット,♂,134,84,74,71,81,95,つばさでうつ,ギガドレイン,あやしいひかり,どくどく
42,ゴルバット,♀,156,107,97,91,101,116,つばさでうつ,かみつく,はがねのつばさ,くろいきり
169,クロバット,♀,163,113,103,93,103,152,そらをとぶ,かみつく,きゅうけつ,ちょうおんぱ
173,ピィ,♂,144,64,67,86,96,55,ずつき,サイコキネシス,アンコール,てんしのキッス
35,ピッピ,♀,160,80,84,95,100,71,ゆびをふる,かいりき,サイコキネシス,つきのひかり
36,ピクシー,♀,176,97,100,111,116,86,ゆびをふる,ずつき,れいとうパンチ,アンコール
174,ププリン,♂,184,69,54,81,61,55,ずつき,ゆめくい,うたう,てんしのキッス
39,プリン,♀,207,82,58,82,62,57,のしかかり,ころがる,まるくなる,うたう
40,プクリン,♀,225,101,75,105,80,76,すてみタックル,ほのおのパンチ,かなしばり,うたう
175,トゲピー,♂,129,59,104,81,106,60,ずつき,ゆびをふる,メロメロ,てんしのキッス
176,トゲチック,♂,140,71,115,110,135,71,そらをとぶ,すてみタックル,ゆびをふる,あまえる
27,サンド,♂,140,110,121,55,65,76,じしん,きりさく,れんぞくぎり,すなあらし
28,サンドパン,♀,156,127,137,71,81,91,じしん,みだれひっかき,すなかけ,すなあらし
23,アーボ,♂,127,97,82,77,91,92,ヘドロばくだん,じしん,かいりき,へびにらみ
24,アーボック,♀,145,116,99,95,109,111,ヘドロばくだん,かみつく,あなをほる,へびにらみ
206,ノコッチ,♀,185,101,100,95,95,76,かいりき,あなをほる,メロメロ,へびにらみ
179,メリープ,♂,147,77,78,102,82,72,かみなり,ずつき,ひかりのかべ,でんじは
180,モココ,♂,157,88,87,112,92,77,かみなりパンチ,ほのおのパンチ,わたほうし,ひかりのかべ
181,デンリュウ,♀,169,100,100,139,114,79,でんじほう,ばくれつパンチ,スピードスター,フラッシュ
194,ウパー,♂,149,84,84,66,66,55,なみのり,じしん,れいとうパンチ,ドわすれ
195,ヌオー,♀,180,116,115,95,95,66,なみのり,あなをほる,たたきつける,ドわすれ
92,ゴース,♂,120,70,66,135,70,116,シャドーボール,サイコキネシス,のろい,あやしいひかり
93,ゴースト,♀,130,81,75,145,85,126,シャドーボール,ギガドレイン,うらみ,みちづれ
94,ゲンガー,♀,139,90,85,154,99,134,ナイトヘッド,どろぼう,あくむ,さいみんじゅつ
201,アンノーン,不,132,107,82,107,83,82,めざめるパワー,,,
95,イワーク,♂,122,78,192,62,77,102,じしん,いわおとし,かいりき,すなあらし
208,ハガネール,♀,153,108,223,78,88,52,アイアンテール,どろかけ,いわおとし,すなあらし
69,マダツボミ,♂,140,110,71,105,65,76,ギガドレイン,ヘドロばくだん,どくどく,せいちょう
70,ウツドン,♂,152,123,82,117,77,87,はっぱカッター,ヘドロばくだん,しびれごな,せいちょう
71,ウツボット,♀,161,132,92,126,86,96,ソーラービーム,ようかいえき,ねむりごな,せいちょう
187,ハネッコ,♂,129,74,79,76,96,90,ギガドレイン,ずつき,やどりぎのタネ,ねむりごな
188,ポポッコ,♂,145,80,86,80,100,116,ソーラービーム,ずつき,こうごうせい,にほんばれ
189,ワタッコ,♀,158,84,98,83,113,139,メガドレイン,ずつき,しびれごな,やどりぎのタネ
46,パラス,♂,127,107,93,82,92,62,ギガドレイン,きりさく,キノコのほうし,せいちょう
47,パラセクト,♀,145,126,110,90,110,61,ギガドレイン,きりさく,れんぞくぎり,キノコのほうし
60,ニョロモ,♂,130,85,76,75,75,126,ハイドロポンプ,のしかかり,さいみんじゅつ,あまごい
61,ニョロゾ,♂,152,98,97,82,82,122,なみのり,いびき,はらだいこ,ねむる
62,ニョロボン,♀,168,108,118,93,113,92,ばくれつパンチ,ハイドロポンプ,おうふくビンタ,こころのめ
186,ニョロトノ,♀,169,100,100,114,124,94,うずしお,こごえるかぜ,ほろびのうた,いばる
129,コイキング,♂,114,49,94,56,61,120,たいあたり,じたばた,はねる,
130,ギャラドス,♀,173,148,102,83,123,103,たきのぼり,りゅうのいかり,たつまき,にらみつける
118,トサキント,♂,135,102,96,70,85,99,なみのり,つのでつく,つのドリル,ちょうおんぱ
119,アズマオウ,♀,163,121,93,93,108,97,たきのぼり,じたばた,つのドリル,ちょうおんぱ
79,ヤドン,♂,180,100,101,75,75,51,なみのり,サイコキネシス,じしん,ドわすれ
80,ヤドラン,♀,178,104,138,128,108,59,なみのり,ねんりき,かなしばり,なきごえ
