Index,Name,Level,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Move1,Move2,Move3,Move4
#001,Bulbasaur,5,20,10,10,12,12,10,Razor Leaf,Growl,Cut,Sleep Powder
#004,Charmander,5,19,10,9,11,10,12,Flamethrower,Rage,Sunny Day,Growl
#007,Squirtle,5,20,10,12,10,12,9,Hydro Pump,Rapid Spin,Rain Dance,Tail Whip
#010,Caterpie,5,20,9,9,8,8,10,Tackle,String Shot,,
#013,Weedle,5,20,9,9,8,8,11,Poison Sting,String Shot,,
#016,Pidgey,5,19,10,9,9,9,11,Fly,Steel Wing,Quick Attack,Quick Attack
#019,Rattata,5,18,11,9,8,9,13,Super Fang,Hyper Fang,Thief,Tail Whip
#021,Spearow,5,19,11,8,9,9,12,Drill Peck,Fury Attack,Pursuit,Mirror Move
#023,Ekans,5,19,11,10,9,11,11,Acid,Bite,Strength,Glare
#027,Sandshrew,5,20,13,14,7,8,9,Dig,Swift,Sandstorm,Sand-attack
#029,Nidoran♀,5,21,10,10,9,9,9,Blizzard,Double Kick,Poison Sting,Growl
#032,Nidoran♂,5,20,11,9,9,9,10,Horn Attack,Poison Sting,Horn Drill,Leer
#037,Vulpix,5,19,9,9,10,12,12,Fire Spin,Quick Attack,Confuse Ray,Attract
#041,Zubat,5,19,10,9,8,9,11,Wing Attack,Bite,Supersonic,Toxic
#043,Oddish,5,19,10,11,12,11,8,Petal Dance,Cut,Sweet Scent,Poisonpowder
#046,Paras,5,19,12,11,10,11,8,Giga Drain,Leech Life,Spore,Curse
#048,Venonat,5,21,11,10,9,11,10,Sludge Bomb,Confusion,Leech Life,Foresight
#050,Diglett,5,16,11,8,9,10,15,Magnitude,Slash,Sand-attack,Growl
#052,Meowth,5,19,10,9,9,9,14,Pay Day,Iron Tail,Screech,Attract
#054,Psyduck,5,20,10,10,11,10,10,Waterfall,Fury Swipes,Disable,Psych Up
#056,Mankey,5,19,13,9,9,10,12,Cross Chop,Scratch,Focus Energy,Leer
#058,Growlithe,5,21,12,10,12,10,11,Flame Wheel,Take Down,Leer,Roar
#060,Poliwag,5,19,10,9,9,9,14,Whirlpool,Doubleslap,Belly Drum,Hypnosis
#063,Abra,5,18,7,7,16,11,14,Psychic,Thief,Endure,Flash
#066,Machop,5,22,13,10,9,9,9,Vital Throw,Dig,Foresight,Scary Face
#069,Bellsprout,5,20,13,9,12,8,9,Vine Whip,Sludge Bomb,Sweet Scent,Flash
#072,Tentacool,5,19,9,9,10,15,12,Bubblebeam,Acid,Barrier,Supersonic
#074,Geodude,5,19,13,15,8,8,7,Tackle,Rollout,Swagger,Defense Curl
