index,mon_name,normal,fire,water,grass,electric,ice,psychic,bug,fighting,flying,poison,ground,rock,ghost,dragon
1,bulbasaur,100,,,60,,,,,,,,,,,
2,ivysaur,100,,,60,,,,,,,,,,,
3,venusaur,100,,,60,,,,,,,,,,,
4,charmander,100,102,,,,,,,64,,,50,,,
5,charmeleon,100,102,,,,,,,64,,,50,,,
6,charizard,100,102,,,,,,,64,35,,100,,,
7,squirtle,100,,96,,,108,,,64,,,50,,,
8,wartortle,100,,96,,,108,,,64,,,50,,,
9,blastoise,100,,96,,,108,,,64,,,100,,,
10,caterpie,35,,,,,,,,,,,,,,
11,metapod,35,,,,,,,,,,,,,,
12,butterfree,100,,,60,,,90,,,,,,,,
13,weedle,,,,,,,,,,,15,,,,
14,kakuna,,,,,,,,,,,15,,,,
15,beedrill,100,,,40,,,,50,,,15,,,,
16,pidgey,100,,,,,,,,,63,,,,,
17,pidgeotto,100,,,,,,,,,63,,,,,
18,pidgeot,100,,,,,,,,,63,,,,,
19,rattata,100,,65,,95,108,,,,,,50,,,
20,raticate,100,,65,,95,108,,,,,,50,,,
21,spearow,100,,,,,,,,,80,,,,,
22,fearow,100,,,,,,,,,80,,,,,
23,ekans,100,,,40,,,,,,,40,100,67.5,,
24,arbok,100,,,40,,,,,,,40,100,67.5,,
25,pikachu,100,,,,95,,,,64,,,,,,
26,raichu,100,,,,95,,,,64,,,,,,
27,sandshrew,100,,,,,,,,64,,15,100,67.5,,
28,sandslash,100,,,,,,,,64,,15,100,67.5,,
29,nidoran_f,100,,,,95,108,,,60,,15,,,,
30,nidorina,100,,65,,95,108,,,60,,15,,,,
31,nidoqueen,100,102,95,,95,108,,,64,,15,100,67.5,,
32,nidoran_m,100,,,,95,108,,,60,,15,,,,
33,nidorino,100,,65,,95,108,,,60,,15,,,,
34,nidoking,100,102,95,,95,108,,,64,,15,100,67.5,,
35,clefairy,100,102,65,60,95,108,90,,64,,,,,,
36,clefable,100,102,65,60,95,108,90,,64,,,,,,
37,vulpix,100,102,,,,,,,,,,50,,,
38,ninetales,100,102,,,,,,,,,,50,,,
39,jigglypuff,100,102,65,60,95,108,90,,64,,,,,,
40,wigglytuff,100,102,65,60,95,108,90,,64,,,,,,
41,zubat,100,,,40,,,,20,,35,,,,,
42,golbat,100,,,40,,,,20,,35,,,,,
43,oddish,100,,,70,,,,,,,40,,,,
44,gloom,100,,,70,,,,,,,40,,,,
45,vileplume,100,,,70,,,,,,,40,,,,
46,paras,100,,,60,,,,20,,,,50,,,
47,parasect,100,,,60,,,,20,,,,50,,,
48,venonat,100,,,60,,,90,20,,,,,,,
49,venomoth,100,,,60,,,90,20,,,,,,,
50,diglett,100,,,,,,,,,,,100,67.5,,
51,dugtrio,100,,,,,,,,,,,100,67.5,,
52,meowth,100,,65,,95,,,,,,,,,,
53,persian,100,,65,,95,,,,,,,,,,
54,psyduck,100,,96,,,108,50,,64,,,50,,,
55,golduck,100,,96,,,108,50,,64,,,50,,,
56,mankey,100,,,,95,,,,64,,,50,67.5,,
