index,mon_name,normal,fire,water,grass,electric,ice,psychic,bug,fighting,flying,poison,ground,rock,ghost,dragon
1,bulbasaur,76.5,,,60,,,,,,,,,,,
2,ivysaur,76.5,,,60,,,,,,,,,,,
3,venusaur,76.5,,,60,,,,,,,,,,,
4,charmander,90,95,,,,,,,64,,,,,,
5,charmeleon,90,95,,,,,,,64,,,,,,
6,charizard,90,95,,,,,,,64,35,,,,,
7,squirtle,90,,96,,,,,,64,,,,,,
8,wartortle,90,,96,,,,,,64,,,,,,
9,blastoise,90,,96,,,,,,64,,,,,,
10,caterpie,33.25,,,,,,,,,,,,,,
11,metapod,33.25,,,,,,,,,,,,,,
12,butterfree,76.5,,,,,,65,,,,,,,,
13,weedle,,,,,,,,,,,15,,,,
14,kakuna,,,,,,,,,,,15,,,,
15,beedrill,76.5,,,,,,,50,,,15,,,,
16,pidgey,76.5,,,,,,,,,35,,,,,
17,pidgeotto,76.5,,,,,,,,,35,,,,,
18,pidgeot,76.5,,,,,,,,,35,,,,,
19,rattata,76.5,,,,,,,,,,,,,,
20,raticate,76.5,,,,,,,,,,,,,,
21,spearow,76.5,,,,,,,,,80,,,,,
22,fearow,76.5,,,,,,,,,80,,,,,
23,ekans,80,,,,,,,,,,40,,,,
24,arbok,80,,,,,,,,,,40,,,,
25,pikachu,90,,,,95,,,,64,,,,,,
26,raichu,90,,,,95,,,,64,,,,,,
27,sandshrew,80,,,,,,,,64,,15,,,,
28,sandslash,80,,,,,,,,64,,15,,,,
29,nidoran_f,76.5,,,,,,,,60,,15,,,,
30,nidorina,76.5,,,,,,,,60,,15,,,,
31,nidoqueen,90,,95,,,,,,64,,15,,,,
32,nidoran_m,76.5,,,,,,,,60,,15,,,,
33,nidorino,76.5,,,,,,,,60,,15,,,,
34,nidoking,90,,95,,,,,,64,,15,,,,
35,clefairy,90,,,,,,,,64,,,,,,
36,clefable,90,,,,,,,,64,,,,,,
37,vulpix,76.5,95,,,,,,,,,,,,,
38,ninetales,76.5,95,,,,,,,,,,,,,
39,jigglypuff,100,,,,,,,,64,,,,,,
40,wigglytuff,100,,,,,,,,64,,,,,,
41,zubat,76.5,,,,,,,20,,35,,,,,
42,golbat,76.5,,,,,,,20,,35,,,,,
43,oddish,76.5,,,70,,,,,,,40,,,,
44,gloom,76.5,,,70,,,,,,,40,,,,
45,vileplume,76.5,,,70,,,,,,,40,,,,
46,paras,76.5,,,,,,,20,,,,,,,
47,parasect,76.5,,,,,,,20,,,,,,,
48,venonat,76.5,,,,,,90,20,,,,,,,
49,venomoth,76.5,,,,,,90,20,,,,,,,
50,diglett,76.5,,,,,,,,,,,100,,,
51,dugtrio,76.5,,,,,,,,,,,100,,,
52,meowth,76.5,,,,,,,,,,,,,,
53,persian,76.5,,,,,,,,,,,,,,
54,psyduck,90,,96,,,,50,,64,,,,,,
55,golduck,90,,96,,,,50,,64,,,,,,
56,mankey,90,,,,,,,,64,,,,,,
57,primeape,90,,,,,,,,64,,,,,,
58,growlithe,76.5,95,,,,,,,,,,,,,
59,arcanine,76.5,95,,,,,,,,,,,,,
60,poliwag,85,,96,,,,,,,,,,,,
61,poliwhirl,90,,96,,,,,,64,,,,,,
62,poliwrath,90,,96,,,,,,64,,,,,,
63,abra,76.5,,,,,,,,64,,,,,,
64,kadabra,76.5,,,,,,90,,64,,,,,,
65,alakazam,76.5,,,,,,90,,64,,,,,,
66,machop,90,,,,,,,,64,,,,,,
67,machoke,90,,,,,,,,64,,,,,,
68,machamp,90,,,,,,,,64,,,,,,
69,bellsprout,76.5,,,52.25,,,,,,,40,,,,
70,weepinbell,76.5,,,52.25,,,,,,,40,,,,
71,victreebel,76.5,,,52.25,,,,,,,40,,,,
72,tentacool,76.5,,96,,,,,,,,40,,,,
73,tentacruel,76.5,,96,,,,,,,,40,,,,
74,geodude,170,,,,,,,,64,,,100,32.5,,
75,graveler,170,,,,,,,,64,,,100,32.5,,
76,golem,170,,,,,,,,64,,,100,32.5,,
77,ponyta,76.5,40,,,,,,,,,,,,,
78,rapidash,76.5,40,,,,,,,,,,,,,
79,slowpoke,80,,95,,,,90,,,,,,,,
80,slowbro,90,,95,,,,90,,64,,,,,,
81,magnemite,76.5,,,,40,,,,,,,,,,
82,magneton,76.5,,,,40,,,,,,,,,,
83,farfetchd,76.5,,,,,,,,,35,,,,,
84,doduo,80,,,,,,,,,80,,,,,
85,dodrio,80,,,,,,,,,80,,,,,
86,seel,80,,95,,,95,,,,,,,,,
87,dewgong,80,,95,,,95,,,,,,,,,
88,grimer,40,,,,,,,,,,65,,,,
89,muk,76.5,,,,,,,,,,65,,,,
90,shellder,76.5,,95,,,95,,,,,,,,,
91,cloyster,76.5,,95,,,95,,,,,,,,,
92,gastly,,,,,,,100,,,,,,,20,
93,haunter,,,,,,,100,,,,,,,20,
94,gengar,90,,,,,,100,,64,,,,,20,
95,onix,80,,,,,,,,,,,,32.5,,
96,drowzee,90,,,,,,90,,64,,,,,,
97,hypno,90,,,,,,90,,64,,,,,,
98,krabby,80,,95,,,,,,,,,,,,
99,kingler,80,,95,,,,,,,,,,,,
100,voltorb,170,,,,,,,,,,,,,,
101,electrode,170,,,,,,,,,,,,,,
102,exeggcute,76.5,,,60,,,,,,,,,,,
103,exeggcutor,80,,,60,,,,,,,,,,,
104,cubone,90,,,,,,,,64,,,90,,,
105,marowak,90,,,,,,,,64,,,90,,,
106,hitmonlee,90,,,,,,,,76.5,,,,,,
107,hitmonchan,90,75,,,75,75,,,64,,,,,,
108,lickitung,80,,95,,,,,,64,,,,,,
109,koffing,170,,,,,,,,,,65,,,,
110,weezing,170,,,,,,,,,,65,,,,
111,rhyhorn,80,,,,,,,,,,,,,,
112,rhydon,90,,95,,,,,,64,,,,,,
113,chansey,100,,,,,,,,64,,,,,,
114,tangela,76.5,,,20,,,,,,,,,,,
115,kangaskhan,90,,95,,,,,,64,,,,,,
116,horsea,76.5,,96,,,,,,,,,,,,
117,seadra,76.5,,96,,,,,,,,,,,,
118,goldeen,76.5,,95,,,,,,,35,,,,,
119,seaking,76.5,,95,,,,,,,35,,,,,
120,staryu,76.5,,96,,,,,,,,,,,,
121,starmie,76.5,,96,,,,,,,,,,,,
122,mr. mime,76.5,,,,,,50,,64,,,,,,
123,scyther,76.5,,,,,,,,,35,,,,,
124,jynx,90,,,,,108,,,64,,,,,20,
125,electabuzz,90,,,,84,,,,64,,,,,,
126,magmar,90,95,,,,,,,64,,20,,,,
127,pinsir,80,,,,,,,,64,,,,,,
128,tauros,80,,,,,,,,,,,,,,
129,magikarp,33.25,,,,,,,,,,,,,,
130,gyarados,80,,96,,,,,,,,,,,,
131,lapras,85,,96,,,95,,,,,,,,,
132,ditto,,,,,,,,,,,,,,,
133,eevee,76.5,,,,,,,,,,,,,,
134,vaporeon,76.5,,96,,,,,,,,,,,,
135,jolteon,76.5,,,,84,,,35.7,60,,,,,,
136,flareon,76.5,95,,,,,,,,,20,,,,
137,porygon,80,,,,,,65,,,,,,,,
138,omanyte,76.5,,96,,,,,,,,,,,,
139,omastar,76.5,,96,,,,,,64,,,,,,
140,kabuto,76.5,,96,20,,,,,,,,,,,
141,kabutops,90,,96,20,,,,,64,,,,,,
142,aerodactyl,76.5,,,,,,,,,35,,,,,
143,snorlax,100,,95,,,,,,64,,,,,,
144,articuno,76.5,,,,,108,,,,35,,,,,
145,zapdos,76.5,,,,84,,,,,80,,,,,
146,moltres,76.5,10.5,,,,,,,,63,,,,,
147,dratini,76.5,,95,,,,,,,,,,,,
148,dragonair,76.5,,95,,,,,,,,,,,,
149,dragonite,80,,95,,,,,,,,,,,,
150,mewtwo,90,,,,,,90,,64,,,,,,
151,mew,90,,95,,,,90,,64,31.5,,,,,
