Pokémon,Pocket Monsters Stadium 2,Pokemon Stadium
Cup,Nintendo Cup '97,Poke Cup
Bulbasaur,Reflect,Body Slam
Ivysaur,"Mega Drain, Body Slam","Double-Edge, Growth"
Venusaur,Mega Drain,Take Down
Charmander,Fire Blast,Dig
Charmeleon,"Fire Blast, Swords Dance, Double-Edge","Flamethrower, Strength, Seismic Toss"
Charizard,"Dig, Mega Punch","Swords Dance, Fire Blast"
Squirtle,"Mega Punch, Skull Bash","Body Slam, Dig"
Wartortle,"Counter, Submission","Strength, Rest"
Blastoise,"Toxic, Mimic, Strength","Seismic Toss, Skull Bash, Withdraw"
Butterfree,Solar Beam,Stun Spore
Beedrill,Agility,Toxic
Pidgey,"Sky Attack, Swift","Toxic, Double-Edge"
Pidgeotto,"Sky Attack, Agility","Fly, Quick Attack"
Pidgeot,Wing Attack,Sand Attack
Rattata,Rage,Hyper Fang
Raticate,Bubble Beam,Hyper Beam
Spearow,"Leer, Sky Attack","Double-Edge, Double Team"
Fearow,"Agility, Fly, Razor Wind","Drill Peck, Fury Attack, Swift"
Ekans,"Mega Drain, Wrap, Glare","Body Slam, Acid, Screech"
Arbok,Acid,Strength
Pikachu,"Flash, Mimic","Seismic Toss, Thunder Wave"
Raichu,Growl,Flash
Sandshrew,Poison Sting,Sand Attack
Sandslash,Strength,Seismic Toss
Nidoran♀,"Bide, Double-Edge","Thunderbolt, Blizzard"
Nidorina,"Tail Whip, Body Slam, Bite","Toxic, Thunder, Double-Edge"
Nidoqueen,"Fissure, Bubble Beam, Rock Slide, Submission","Toxic, Earthquake, Double Kick, Bite"
Nidoran♂,"Toxic, Reflect, Mimic","Blizzard, Body Slam, Focus Energy"
Nidorino,"Poison Sting, Fury Attack","Double-Edge, Focus Energy"
Nidoking,"Mega Punch, Horn Attack, Bubble Beam, Double Kick","Earthquake, Substitute, Horn Drill, Rage"
Clefable,Thunder Wave,Tri Attack
Vulpix,"Fire Blast, Reflect, Fire Spin, Toxic","Flamethrower, Double-Edge, Dig, Confuse Ray"
Ninetales,"Bide, Dig","Tail Whip, Skull Bash"
Jigglypuff,"Thunderbolt, Ice Beam","Psychic, Seismic Toss"
Wigglytuff,"Strength, Psychic, Defense Curl","Thunderbolt, Double-Edge, Submission"
Golbat,Wing Attack,Bite
Oddish,Stun Spore,Petal Dance
Gloom,"Swords Dance, Double-Edge, Absorb, Poison Powder","Petal Dance, Stun Spore, Take Down, Mega Drain"
Vileplume,"Hyper Beam, Bide","Cut, Acid"
Paras,Reflect,Dig
Parasect,"Swords Dance, Double-Edge","Solar Beam, Take Down"
Venonat,Reflect,Double-Edge
Venomoth,"Stun Spore, Toxic","Swift, Solar Beam"
Diglett,Fissure,Sand Attack
Meowth,"Mimic, Thunder, Bubble Beam","Double Team, Thunderbolt, Swift"
Persian,"Thunderbolt, Double Team, Pay Day","Growl, Bubble Beam, Mimic"
Golduck,Swift,Disable
Mankey,"Dig, Metronome","Screech, Rock Slide"
Primeape,"Seismic Toss, Mega Kick","Fury Swipes, Screech"
Growlithe,Dragon Rage,Dig
Arcanine,"Dig, Agility","Substitute, Dragon Rage"
Poliwag,Hypnosis,Amnesia
Poliwhirl,"Amnesia, Toxic, Psychic, Double-Edge","Surf, Earthquake, Ice Beam, Psychic"
Poliwrath,Bubble Beam,Hydro Pump
Abra,Toxic,Thunder Wave
Kadabra,"Psybeam, Thunder Wave, Seismic Toss","Psychic, Dig, Counter"
Alakazam,"Dig, Kinesis, Recover","Tri Attack, Metronome, Disable"
Machop,"Metronome, Strength","Focus Energy, Rock Slide"
Machoke,"Dig, Fissure, Mega Kick","Submission, Focus Energy, Strength"
Machamp,"Karate Chop, Seismic Toss","Focus Energy, Strength"
Bellsprout,"Wrap, Slam, Toxic","Razor Leaf, Stun Spore, Growth"
Weepinbell,"Growth, Stun Spore, Cut","Toxic, Acid, Wrap"
Victreebel,"Sleep Powder, Mimic","Slam, Acid"
Tentacool,"Toxic, Acid","Blizzard, Mega Drain"
Tentacruel,"Wrap, Toxic","Acid, Supersonic"
Geodude,"Take Down, Strength","Earthquake, Seismic Toss"
Graveler,Metronome,Strength
Golem,"Rock Throw, Mega Punch, Self-Destruct","Seismic Toss, Metronome, Fire Blast"
Slowpoke,Flash,Amnesia
Slowbro,"Dig, Bide","Withdraw, Disable"
Magnemite,Toxic,Thunder Wave
Magneton,"Thunder Wave, Flash","Screech, Supersonic"
Farfetch'd,Agility,Toxic
Doduo,"Take Down, Sky Attack","Tri Attack, Double Team"
Dodrio,"Fury Attack, Hyper Beam","Reflect, Agility"
Seel,"Strength, Take Down","Body Slam, Horn Drill"
Dewgong,Horn Drill,Rest
Grimer,"Minimize, Fire Blast","Sludge, Screech"
Muk,Mega Drain,Hyper Beam
Shellder,Toxic,Surf
Cloyster,"Aurora Beam, Self-Destruct","Clamp, Ice Beam"
Haunter,"Thunderbolt, Mimic","Explosion, Confuse Ray"
Gengar,"Metronome, Self-Destruct","Thunderbolt, Hypnosis"
Onix,"Dig, Double-Edge, Bind","Earthquake, Rock Slide, Strength"
Drowzee,"Double-Edge, Flash","Tri Attack, Dream Eater"
Hypno,"Psychic, Poison Gas","Meditate, Headbutt"
Krabby,"Ice Beam, Swords Dance","Blizzard, Guillotine"
Kingler,"Body Slam, Leer, Surf","Crabhammer, Substitute, Stomp"
Voltorb,Double Team,Swift
Electrode,Explosion,Self-Destruct
Exeggcute,"Egg Bomb, Stun Spore","Psychic, Toxic"
Exeggutor,"Toxic, Psychic, Self-Destruct","Egg Bomb, Stun Spore, Mega Drain"
Cubone,"Bone Club, Dig, Ice Beam, Thrash","Earthquake, Strength, Submission, Blizzard"
Marowak,"Rage, Seismic Toss","Thrash, Fire Blast"
Hitmonlee,"Rolling Kick, Jump Kick","Seismic Toss, Metronome"
Hitmonchan,"Fire Punch, Mega Punch","Submission, Strength"
Lickitung,"Supersonic, Mega Kick, Earthquake, Thunderbolt","Strength, Thunder, Blizzard, Fire Blast"
Weezing,"Haze, Thunder","Hyper Beam, Fire Blast"
Rhyhorn,Thunder,Rock Slide
Rhydon,"Horn Drill, Earthquake, Bubble Beam","Surf, Strength, Thunder"
Chansey,"Sing, Double-Edge, Reflect","Thunder, Fire Blast, Rest"
Tangela,"Rest, Double Team","Toxic, Double-Edge"
Horsea,Surf,Hydro Pump
Seadra,"Hydro Pump, Take Down","Surf, Toxic"
Goldeen,"Toxic, Ice Beam","Blizzard, Supersonic"
Seaking,"Horn Drill, Skull Bash","Ice Beam, Horn Attack"
Staryu,"Psywave, Surf","Psychic, Hydro Pump"
Starmie,"Hydro Pump, Thunder, Recover, Psywave","Surf, Thunder, Harden, Swift"
Mr. Mime,Counter,Seismic Toss
Scyther,"Swords Dance, Swift, Focus Energy, Hyper Beam","Slash, Double Team, Wing Attack, Leer"
Jynx,Bubble Beam,Mega Punch
Electabuzz,"Quick Attack, Seismic Toss","Mega Punch, Psychic"
Magmar,Confuse Ray,Mega Punch
Pinsir,"Slash, Toxic, Bind","Strength, Seismic Toss, Harden"
Tauros,"Stomp, Rage, Rest, Fissure","Double-Edge, Fire Blast, Bide, Tail Whip"
Gyarados,"Thunderbolt, Hydro Pump, Bide, Take Down","Surf, Fire Blast, Dragon Rage, Bite"
Lapras,"Confuse Ray, Thunderbolt","Ice Beam, Solar Beam"
Eevee,Double-Edge,Swift
Vaporeon,"Aurora Beam, Double-Edge","Quick Attack, Sand Attack"
Jolteon,Double-Edge,Sand Attack
Flareon,"Fire Spin, Double-Edge","Sand Attack, Take Down"
Porygon,"Double-Edge, Recover, Thunder Wave","Tri Attack, Psychic, Sharpen"
Omanyte,"Blizzard, Reflect","Ice Beam, Double Team"
Omastar,"Seismic Toss, Double-Edge","Withdraw, Submission"
Kabuto,"Slash, Reflect, Toxic, Ice Beam","Hydro Pump, Blizzard, Double Team, Slash"
Kabutops,"Hydro Pump, Double Team","Surf, Submission"
Aerodactyl,Take Down,Double-Edge
Snorlax,"Amnesia, Body Slam, Self-Destruct","Mega Kick, Rest, Rock Slide"
Articuno,"Peck, Bubble Beam, Toxic","Sky Attack, Substitute, Razor Wind"
Zapdos,"Thunder Shock, Fly, Toxic","Thunderbolt, Flash, Sky Attack"
Moltres,"Fire Spin, Hyper Beam","Substitute, Swift"
Dratini,"Double Team, Blizzard","Thunder Wave, Body Slam"
Dragonair,Toxic,Swift
Dragonite,"Thunder Wave, Surf, Hyper Beam","Slam, Agility, Thunder"
