Pokémon,Pocket Monsters Stadium 2,Pokemon Stadium
Cup,Pika Cup,Pika Cup
Bulbasaur,Cut,Double-Edge
Charmander,"Ember, Rage","Seismic Toss, Strength"
Squirtle,Bubble Beam,Surf
Pidgey,Gust,Toxic
Pidgeotto,Gust,Sand Attack
Spearow,"Fury Attack, Sky Attack","Double-Edge, Fly"
Fearow,Rest,Peck
Ekans,Double-Edge,Leer
Pikachu,"Double Team, Rest","Submission, Quick Attack"
Nidoran♀,"Tackle, Growl","Thunder, Body Slam"
Nidorina,Bubble Beam,Take Down
Nidoqueen,Horn Drill,Double Kick
Nidoran♂,"Poison Sting, Double-Edge","Thunderbolt, Body Slam"
Nidorino,Body Slam,Double Kick
Nidoking,"Double-Edge, Rock Slide, Water Gun","Poison Sting, Double Kick, Bubble Beam"
Clefairy,"Psywave, Mega Punch","Psychic, Tri Attack"
Vulpix,Ember,Double-Edge
Zubat,Bite,Swift
Oddish,Poison Powder,Toxic
Paras,Solar Beam,Take Down
Venonat,Double Team,Double-Edge
Diglett,Mimic,Take Down
Meowth,Pay Day,Double Team
Psyduck,Ice Beam,Blizzard
Growlithe,"Roar, Rage, Body Slam","Dig, Reflect, Double-Edge"
Arcanine,Double-Edge,Bite
Poliwag,Water Gun,Surf
Poliwhirl,"Psywave, Ice Beam","Surf, Double-Edge"
Poliwrath,"Toxic, Mega Kick, Double Team","Double Slap, Hypnosis, Metronome"
Abra,"Rest, Metronome, Double Team","Reflect, Thunder Wave, Seismic Toss"
Kadabra,"Confusion, Flash","Psychic, Metronome"
Alakazam,Reflect,Mega Punch
Machop,"Mega Kick, Rock Slide, Earthquake","Bide, Submission, Fire Blast"
Bellsprout,"Wrap, Poison Powder, Solar Beam","Growth, Take Down, Mega Drain"
Tentacool,"Blizzard, Reflect, Wrap","Surf, Acid, Toxic"
Geodude,"Mega Punch, Explosion, Metronome","Rock Slide, Defense Curl, Mega Punch"
Slowpoke,Thunder Wave,Flash
Magnemite,Flash,Swift
Farfetch'd,"Reflect, Double Team","Fury Attack, Rest"
Seel,Toxic,Headbutt
Cloyster,"Surf, Ice Beam, Reflect","Aurora Beam, Clamp, Hyper Beam"
Gastly,Thunderbolt,Psychic
Haunter,Lick,Thunderbolt
Gengar,Lick,Mega Drain
Onix,"Dig, Bind, Body Slam","Earthquake, Rock Slide, Strength"
Drowzee,Flash,Tri Attack
Krabby,"Swords Dance, Double-Edge, Leer","Ice Beam, Toxic, Body Slam"
Kingler,"Bubble Beam, Take Down, Body Slam, Cut","Surf, Strength, Double Team, Mimic"
Voltorb,Screech,Take Down
Exeggcute,"Explosion, Reflect","Psychic, Toxic"
Exeggutor,"Hypnosis, Solar Beam, Reflect","Psywave, Toxic, Barrage"
Cubone,"Bone Club, Seismic Toss, Rage","Strength, Blizzard, Tail Whip"
Lickitung,"Stomp, Mega Punch, Swords Dance","Thunder, Fire Blast, Double-Edge"
Koffing,Mimic,Fire Blast
Rhyhorn,"Fissure, Skull Bash","Substitute, Horn Attack"
Chansey,"Soft-Boiled, Double Team","Bubble Beam, Tri Attack"
Horsea,Bubble,Surf
Seadra,"Surf, Double Team","Bubble Beam, Smokescreen"
Goldeen,"Tail Whip, Toxic","Surf, Ice Beam"
Staryu,"Tackle, Thunderbolt","Surf, Tri Attack"
Starmie,"Surf, Tri Attack","Bubble Beam, Psywave"
Mr. Mime,"Thunder Wave, Reflect","Barrier, Tri Attack"
Scyther,Cut,Double Team
Pinsir,"Double-Edge, Swords Dance","Take Down, Mimic"
Gyarados,"Surf, Reflect, Body Slam, Fire Blast","Hydro Pump, Leer, Bite, Rest"
Lapras,"Surf, Horn Drill, Body Slam","Bubble Beam, Ice Beam, Skull Bash"
Porygon,Psychic,Double Team
Dratini,"Surf, Toxic","Fire Blast, Body Slam"
