,bulbasaur,ivysaur,venusaur,charmander,charmeleon,charizard,squirtle,wartortle,blastoise,caterpie,metapod,butterfree,weedle,kakuna,beedrill,pidgey,pidgeotto,pidgeot,rattata,raticate,spearow,fearow,ekans,arbok,pikachu,raichu,sandshrew,sandslash,nidoran_f,nidorina,nidoqueen,nidoran_m,nidorino,nidoking,clefairy,clefable,vulpix,ninetales,jigglypuff,wigglytuff,zubat,golbat,oddish,gloom,vileplume,paras,parasect,venonat,venomoth,diglett,dugtrio,meowth,persian,psyduck,golduck,mankey,primeape,growlithe,arcanine,poliwag,poliwhirl,poliwrath,abra,kadabra,alakazam,machop,machoke,machamp,bellsprout,weepinbell,victreebel,tentacool,tentacruel,geodude,graveler,golem,ponyta,rapidash,slowpoke,slowbro,magnemite,magneton,farfetchd,doduo,dodrio,seel,dewgong,grimer,muk,shellder,cloyster,gastly,haunter,gengar,onix,drowzee,hypno,krabby,kingler,voltorb,electrode,exeggcute,exeggcutor,cubone,marowak,hitmonlee,hitmonchan,lickitung,koffing,weezing,rhyhorn,rhydon,chansey,tangela,kangaskhan,horsea,seadra,goldeen,seaking,staryu,starmie,mr. mime,scyther,jynx,electabuzz,magmar,pinsir,tauros,magikarp,gyarados,lapras,ditto,eevee,vaporeon,jolteon,flareon,porygon,omanyte,omastar,kabuto,kabutops,aerodactyl,snorlax,articuno,zapdos,moltres,dratini,dragonair,dragonite,mewtwo,mew
Unnamed: 0,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,117.0,118.0,119.0,120.0,121.0,122.0,123.0,124.0,125.0,126.0,127.0,128.0,129.0,130.0,131.0,132.0,133.0,134.0,135.0,136.0,137.0,138.0,139.0,140.0,141.0,142.0,143.0,144.0,145.0,146.0,147.0,148.0,149.0,150.0
bulbasaur,0.23,0.0,0.0,0.03,0.0,0.0,0.91,0.15,0.08,1.0,1.0,0.0,1.0,1.0,0.0,0.04,0.0,0.0,0.84,0.31,0.0,0.0,0.23,0.0,0.92,0.05,1.0,0.09,0.02,0.0,0.0,0.01,0.0,0.05,0.18,0.01,0.0,0.0,0.92,0.05,0.71,0.0,0.69,0.04,0.0,0.51,0.0,0.0,0.0,0.97,0.6,0.0,0.0,0.63,0.12,0.78,0.0,0.0,0.0,0.97,0.51,0.11,0.0,0.0,0.0,0.5,0.06,0.02,0.3,0.0,0.0,0.02,0.0,1.0,0.99,0.76,0.0,0.0,0.97,0.72,0.89,0.01,0.0,0.0,0.0,0.14,0.0,0.03,0.0,0.96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.99,0.59,0.9,0.14,0.2,0.0,0.93,0.71,0.69,0.71,0.14,0.01,0.0,1.0,0.95,0.0,0.0,0.06,0.56,0.04,0.68,0.14,0.61,0.01,0.12,0.0,0.0,0.01,0.0,0.0,0.02,1.0,0.0,0.0,0.9,0.06,0.0,0.36,0.0,0.09,0.9,0.05,0.85,0.69,0.06,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0
ivysaur,1.0,0.25,0.0,0.09,0.03,0.0,0.99,0.96,0.14,1.0,1.0,0.0,1.0,1.0,0.0,0.29,0.03,0.0,1.0,0.2,0.0,0.0,1.0,0.0,0.99,0.01,1.0,0.83,0.4,0.03,0.04,0.85,0.02,0.01,0.78,0.09,0.16,0.0,0.98,0.38,1.0,0.01,0.99,0.43,0.0,0.85,0.01,0.52,0.0,1.0,1.0,0.91,0.01,1.0,0.14,0.96,0.75,0.03,0.0,1.0,0.93,0.13,0.11,0.0,0.0,0.98,0.9,0.21,1.0,0.73,0.0,0.03,0.0,1.0,1.0,0.99,0.03,0.0,1.0,0.91,1.0,0.1,0.01,0.0,0.0,0.87,0.02,0.44,0.0,1.0,0.01,0.43,0.0,0.0,1.0,0.0,0.0,1.0,0.86,1.0,0.14,0.95,0.0,1.0,0.99,0.98,0.92,0.25,0.02,0.0,1.0,1.0,0.0,0.0,0.64,0.8,0.12,0.91,0.16,0.84,0.17,0.21,0.0,0.0,0.02,0.01,0.0,0.02,1.0,0.0,0.01,1.0,0.89,0.13,0.94,0.0,0.13,0.98,0.99,1.0,0.79,0.11,0.04,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0
venusaur,1.0,1.0,0.33,0.81,0.26,0.05,1.0,1.0,0.89,1.0,1.0,0.97,1.0,1.0,0.93,0.97,0.85,0.02,1.0,0.81,0.9,0.0,1.0,0.59,1.0,0.68,1.0,1.0,0.99,0.81,0.57,0.99,0.94,0.36,1.0,0.25,0.84,0.09,1.0,0.85,1.0,0.51,1.0,1.0,0.85,1.0,0.77,0.99,0.1,1.0,0.99,0.97,0.88,1.0,0.46,1.0,0.99,0.79,0.02,1.0,0.98,0.98,0.14,0.0,0.0,1.0,0.98,0.95,1.0,1.0,0.72,0.84,0.06,1.0,1.0,1.0,0.28,0.04,1.0,0.89,1.0,0.96,0.99,0.82,0.0,1.0,0.78,0.92,0.48,1.0,1.0,1.0,0.72,0.0,1.0,0.45,0.0,1.0,1.0,1.0,0.97,1.0,0.36,1.0,1.0,1.0,1.0,0.99,0.85,0.14,1.0,1.0,0.01,0.83,0.93,1.0,0.43,1.0,0.94,0.99,0.16,1.0,0.53,0.02,0.77,0.27,0.2,0.75,1.0,0.04,0.79,1.0,0.99,0.85,1.0,0.15,0.96,1.0,0.99,1.0,0.99,0.66,0.84,0.0,0.0,0.0,0.96,0.87,0.03,0.0,0.07
charmander,1.0,0.96,0.22,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.22,1.0,1.0,0.75,0.84,0.0,0.0,0.02,0.0,0.0,0.0,0.81,0.0,0.94,0.0,0.0,0.0,0.89,0.0,0.0,0.95,0.0,0.0,0.2,0.0,0.83,0.0,1.0,0.0,1.0,0.0,0.97,0.96,0.82,0.95,0.84,1.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.92,0.85,0.18,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.88,0.02,0.0,0.0,0.99,0.97,0.16,0.0,1.0,0.0,0.04,0.0,0.91,0.01,0.93,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.8,0.0,0.06,0.01,0.0,0.0,0.02,0.0,0.04,0.13,0.26,0.0,0.01,0.22,0.0,1.0,0.0,0.01,1.0,0.0,0.0,0.08,0.0,0.07,0.1,0.01,0.73,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.0,0.0
charmeleon,1.0,0.96,0.22,1.0,0.0,0.0,0.08,0.0,0.0,1.0,1.0,0.85,1.0,1.0,0.94,1.0,0.43,0.0,0.81,0.0,1.0,0.02,0.85,0.0,1.0,0.28,0.0,0.0,1.0,0.83,0.0,1.0,0.85,0.0,0.86,0.02,0.93,0.01,1.0,0.01,1.0,0.02,1.0,0.97,0.74,0.99,0.97,1.0,0.54,0.52,0.0,0.44,0.0,0.54,0.0,0.85,0.0,0.57,0.0,0.4,0.0,0.0,0.92,0.66,0.02,0.0,0.0,0.0,1.0,0.95,0.74,0.2,0.0,0.02,0.0,0.0,0.28,0.04,0.0,0.0,1.0,0.25,0.11,0.99,0.0,0.0,0.0,1.0,0.01,0.0,0.0,1.0,1.0,0.76,0.16,1.0,0.07,0.43,0.0,1.0,0.17,1.0,0.65,0.0,0.0,0.73,0.69,0.0,0.94,0.0,0.0,0.0,1.0,0.93,0.0,0.02,0.01,0.0,0.0,0.04,0.0,0.2,0.91,0.59,0.12,0.01,0.82,0.0,1.0,0.0,0.0,1.0,0.73,0.0,0.09,0.01,0.86,0.16,0.04,1.0,0.0,0.0,0.0,0.12,0.01,0.0,1.0,0.0,0.0,0.0,0.0
charizard,1.0,1.0,0.95,1.0,1.0,0.01,0.99,0.32,0.07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.12,1.0,0.64,1.0,0.06,1.0,0.87,1.0,0.73,0.18,0.02,1.0,1.0,0.38,1.0,1.0,0.84,0.98,0.22,1.0,0.99,1.0,0.85,1.0,0.88,1.0,1.0,0.95,1.0,1.0,1.0,0.97,1.0,0.16,1.0,0.02,0.99,0.14,0.85,0.13,1.0,0.88,0.87,0.72,0.03,1.0,1.0,1.0,0.8,0.08,0.01,1.0,1.0,0.94,1.0,0.34,0.37,0.06,0.04,1.0,0.84,0.98,0.02,0.94,0.67,1.0,1.0,0.02,0.69,0.01,1.0,0.91,0.89,0.0,1.0,0.91,0.25,0.36,1.0,0.98,0.48,0.02,0.4,0.11,1.0,0.92,0.89,0.22,1.0,1.0,0.62,1.0,0.7,0.03,0.0,0.9,1.0,0.02,0.94,0.16,1.0,0.16,0.9,0.02,0.83,0.98,0.4,0.74,1.0,1.0,0.01,1.0,0.02,0.0,1.0,1.0,0.38,0.36,1.0,0.12,0.98,0.52,1.0,0.7,0.0,0.01,0.18,0.0,0.14,1.0,0.17,0.01,0.0,0.0
squirtle,0.05,0.0,0.0,1.0,0.95,0.01,0.21,0.0,0.0,1.0,1.0,0.51,1.0,1.0,0.08,0.96,0.76,0.04,0.78,0.08,0.92,0.19,1.0,0.03,0.13,0.0,0.98,0.07,0.9,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1.0,0.21,0.73,0.0,0.99,0.03,0.79,0.08,0.0,1.0,0.73,0.0,0.0,0.98,0.31,0.0,0.0,0.65,0.0,0.14,0.0,0.98,0.05,0.63,0.0,0.0,0.95,0.37,0.0,0.95,0.06,0.0,0.29,0.01,0.0,1.0,0.07,1.0,1.0,0.78,0.8,0.03,0.01,0.0,0.0,0.0,0.08,0.73,0.0,0.24,0.0,0.47,0.0,0.01,0.0,0.06,0.0,0.0,0.99,0.57,0.0,0.0,0.0,0.01,0.0,0.05,0.0,1.0,0.15,0.59,0.08,0.0,0.22,0.0,1.0,0.95,0.0,0.17,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.07,0.0,0.15,0.0,0.0,1.0,0.0,0.0,0.89,0.1,0.0,0.0,0.12,0.0,1.0,0.06,0.19,0.01,0.16,0.0,0.0,0.0,0.0,0.06,0.05,0.05,0.0,0.0
wartortle,0.83,0.0,0.0,1.0,1.0,0.74,1.0,0.26,0.0,1.0,1.0,0.92,1.0,1.0,0.26,1.0,0.95,0.59,0.96,0.07,0.99,0.13,1.0,0.71,0.89,0.03,1.0,0.9,1.0,0.94,0.05,1.0,0.36,0.08,0.08,0.0,1.0,0.64,0.92,0.13,1.0,0.66,0.76,0.79,0.16,1.0,0.91,0.36,0.05,1.0,0.84,0.61,0.0,1.0,0.01,0.68,0.0,1.0,0.04,1.0,0.19,0.0,1.0,0.86,0.09,0.96,0.96,0.29,0.58,0.23,0.0,1.0,0.7,0.99,1.0,0.96,1.0,0.2,0.7,0.0,0.09,0.0,0.39,0.95,0.18,1.0,0.0,1.0,0.2,0.88,0.0,0.83,0.11,0.08,1.0,0.99,0.01,0.28,0.0,0.09,0.06,0.37,0.48,1.0,0.96,0.99,0.9,0.0,0.69,0.0,1.0,1.0,0.0,0.58,0.07,1.0,0.0,0.66,0.01,0.0,0.0,0.0,0.51,0.64,0.04,0.56,0.0,0.0,1.0,0.0,0.0,1.0,0.76,0.05,0.0,0.51,0.0,1.0,0.7,1.0,0.05,0.23,0.0,0.0,0.0,0.07,0.9,0.18,0.1,0.0,0.0
blastoise,0.88,0.81,0.14,1.0,1.0,0.97,1.0,1.0,0.36,1.0,1.0,0.89,1.0,1.0,1.0,1.0,1.0,0.82,0.98,0.85,1.0,0.7,1.0,0.99,0.94,0.78,1.0,1.0,1.0,1.0,0.91,1.0,1.0,0.62,0.84,0.46,1.0,1.0,1.0,0.69,1.0,0.91,0.86,0.79,0.8,1.0,0.99,0.98,0.17,1.0,1.0,0.9,0.54,1.0,0.52,0.98,0.48,1.0,0.66,1.0,1.0,0.72,1.0,1.0,0.97,1.0,1.0,0.97,0.86,0.79,0.85,1.0,1.0,1.0,1.0,0.99,1.0,0.95,1.0,0.54,0.94,0.6,0.95,1.0,0.5,1.0,0.91,1.0,0.9,1.0,0.62,0.92,0.44,0.17,1.0,1.0,0.97,1.0,0.73,0.38,0.07,0.74,0.0,1.0,1.0,1.0,0.97,0.68,1.0,0.66,1.0,1.0,0.0,0.22,0.45,1.0,0.78,1.0,0.89,0.68,0.0,0.09,0.99,0.96,0.81,0.98,0.31,0.16,1.0,0.0,0.01,1.0,1.0,0.89,0.4,1.0,0.78,1.0,1.0,1.0,0.5,0.82,0.15,0.29,0.0,0.5,1.0,0.92,0.54,0.0,0.0
