,off_avg,def_avg,ovr
mewtwo,3.389327765438823,0.6656971799355906,2.7236305855032326
alakazam,2.9711639502223446,1.028157959283787,1.9430059909385575
gengar,0.815284803079986,0.8155268296824589,-0.0002420266024729667
exeggcutor,3.8163134865590878,1.009813790416829,2.806499696142259
moltres,2.755943226765914,0.9366467991169979,1.8192964276489159
zapdos,3.081211946039718,0.7402898324892871,2.340922113550431
articuno,3.0053250079386795,0.8667350993377484,2.138589908600931
tentacruel,2.7524347354089875,0.9957250806588556,1.756709654750132
magneton,2.3986363257768017,0.7863541303590101,1.6122821954177917
kadabra,2.6410346224198626,1.3871688741721855,1.2538657482476772
omastar,2.3886800342789596,0.9439850273538728,1.4446950069250868
hypno,2.5309915131523675,0.826086956521739,1.7049045566306285
haunter,0.627142156215374,0.9290031033048597,-0.30186094708948574
vaporeon,2.2848243806146566,0.9869355809753161,1.2978887996393405
jolteon,2.1987499652954012,1.0106762994180214,1.1880736658773798
flareon,1.9980150288543699,1.1634206301424845,0.8345943987118853
chansey,0.0875855989429571,7.405108798486284,-7.317523199543326
abra,2.310905294617379,2.4200567644276254,-0.10915146981024648
dragonite,2.8919740121059863,0.7766547577553153,2.1153192543506707
gyarados,2.077113073286051,0.9105821946516891,1.166530878634362
starmie,2.757410713491793,0.8053135956369302,1.9520971178548627
venusaur,2.144230485323685,1.1025993377483445,1.0416311475753406
ninetales,1.8163772989585183,1.089613686534216,0.7267636124243022
victreebel,2.9775911724239306,1.205655883851248,1.7719352885726827
tangela,2.144230485323685,0.9968600633458106,1.1473704219778744
vileplume,2.67069054479614,1.0935615504479939,1.5771289943481464
mr. mime,2.200862185349885,0.897827305145186,1.3030348802046992
tentacool,2.178556582659065,1.4238505203405865,0.7547060623184785
gastly,0.43899950935076165,1.13121412803532,-0.6922146186845584
mew,2.200862185349885,0.7376490066225166,1.4632131787273686
lapras,2.353260053772731,1.0526315789473686,1.3006284748253623
dewgong,2.353260053772731,1.0526315789473686,1.3006284748253623
seadra,1.9732574196217494,0.8632276054374347,1.1100298141843146
jynx,2.5453724389918135,1.4739829706717122,1.0713894683201013
magnemite,1.8989204245733011,0.9811581934969873,0.9177622310763138
raichu,1.7989772443326009,1.1248678841394073,0.6741093601931936
venomoth,1.575452642734308,1.2853384841795437,0.2901141585547644
omanyte,1.8694017659574462,1.1420161883738043,0.727385577583642
drowzee,1.9807759668148963,1.1318984547461368,0.8488775120687595
cloyster,2.1055484691650754,0.856451543089642,1.2490969260754334
charizard,2.08354919336449,1.1699537023163824,0.9135954910481074
blastoise,1.765546112293144,0.8929996104402026,0.8725465018529414
weezing,1.5910717545305828,0.9324649396182315,0.6586068149123513
electabuzz,1.699034064091901,1.1247896718813004,0.5742443922106006
magmar,1.5439207041147402,1.305343803607187,0.2385769005075533
clefable,1.2261983852013991,1.0179218852559622,0.20827649994543695
weepinbell,2.5408699306153157,1.4059641604986366,1.1349057701166791
gloom,2.2371712630204734,1.2335271857087204,1.003644077311753
arcanine,1.4531018391668145,1.167135761589404,0.28596607757741044
rapidash,1.4531018391668145,1.22936967833491,0.2237321608319045
golduck,1.6616904586288408,1.0073357106469691,0.6543547479818717
electrode,1.5990908838512004,1.0486991485335855,0.5503917353176149
slowbro,2.205928570793434,0.8189832931968692,1.3869452775965647
seaking,1.6616904586288408,1.083902190524707,0.5777882681041338
parasect,3.0946976852457264,1.8286630794701988,1.2660346057755276
ivysaur,1.7153843882589481,1.3039955192893933,0.41138886896955484
butterfree,0.0,1.564391556291391,-1.564391556291391
nidoqueen,1.9968701718934914,1.2381312323970464,0.758738939496445
nidoking,2.2403909245634295,1.280519193830452,0.9598717307329774
golbat,1.7265516490184998,1.102409334594765,0.6241423144237348
porygon,1.051027187315485,1.0955912961210974,-0.044564108805612346
oddish,1.8953455463490838,1.4040878988561107,0.49125764749297307
tauros,1.751711978859142,1.007229995518598,0.744481983340544
kabutops,1.4539791513002362,1.3151056449069691,0.13887350639326712
poliwrath,2.1325358607968057,1.2375292535975702,0.8950066071992355
pidgeot,1.7680319478461013,1.0991390728476822,0.6688928749984191
dugtrio,1.6448273019468556,1.4314001892147588,0.2134271127320968
dragonair,0.0,0.9550651335419548,-0.9550651335419548
staryu,1.4539791513002362,1.237722542358304,0.21625660894193222
seel,1.4539791513002362,1.237722542358304,0.21625660894193222
bellsprout,2.104181912133906,1.7551797540208136,0.3490021581130922
horsea,1.4539791513002362,1.119489120151372,0.33449003114886433
snorlax,1.926883176745056,1.210697911360163,0.716185265384893
machamp,2.3962187234628374,1.2752165053489557,1.1210022181138817
muk,1.8562503802856798,1.2221803362200712,0.6340700440656086
persian,1.2261983852013991,1.2531839021905247,-0.026985516989125546
arbok,1.5026788792788839,1.2562360185164678,0.24644286076241606
ponyta,1.1806452443230369,1.4881118881118882,-0.30746664378885136
charmeleon,1.1806452443230369,1.4553366592302424,-0.2746914149072055
wartortle,1.3501234976359333,1.107749617931737,0.24237387970419633
eevee,0.963441588372528,1.3592664289353034,-0.39582484056277534
bulbasaur,1.3937498154603953,1.5402616777735039,-0.14651186231310853
vulpix,1.1806452443230369,1.713506113092206,-0.5328608687691692
fearow,1.9890359413268637,1.2332311700892746,0.755804771237589
aerodactyl,2.2660990393367806,1.3389879436237053,0.9271110957130753
dodrio,2.431043928288389,1.2146720277514977,1.2163719005368914
primeape,1.9354074304892146,1.4108167770419424,0.5245906534472722
lickitung,0.963441588372528,1.1935099337748343,-0.23006834540230625
koffing,1.1491073782720878,1.189316835134193,-0.0402094568621052
exeggcute,1.8318304735483621,1.2681015452538633,0.5637289282944988
clefairy,0.7882703904866138,1.444701986754967,-0.6564315962683532
farfetchd,1.436525957624957,1.3360242064398264,0.1005017511851305
pinsir,0.0,1.3749006622516557,-1.3749006622516557
golem,3.063970573169391,2.1419476219145093,0.9220229512548817
scyther,2.374008517400437,1.6047373570138472,0.7692711603865898
sandslash,2.0560341274335694,1.3902167369054788,0.6658173905280906
nidorina,1.096071653121068,1.3788286143035575,-0.2827569611824896
nidorino,1.2728574036244664,1.450898317437181,-0.17804091381271459
voltorb,1.0993749826477006,1.426730885009031,-0.3273559023613304
paras,2.2213750370848193,2.2941300421432875,-0.07275500505846821
kingler,1.0385565366430256,1.175090699683271,-0.13653416304024546
wigglytuff,1.2261983852013991,1.6146578366445918,-0.3884594514431927
machoke,1.8432451718944904,1.4990728476821193,0.3441723242123711
marowak,1.6448273019468556,1.490746538229982,0.15408076371687351
raticate,1.418886702875905,1.436401766004415,-0.017515063128510144
poliwhirl,1.0385565366430256,1.372511462047886,-0.3339549254048604
pidgeotto,1.3260239608845759,1.4439072847682117,-0.11788332388363587
goldeen,1.0385565366430256,1.4107947019867553,-0.37223816534372967
growlithe,0.9081886494792591,1.8256585724797647,-0.9174699230005056
pikachu,0.9994318024070005,1.895783664459161,-0.8963518620521606
psyduck,1.0385565366430256,1.5338907284768213,-0.4953341918337957
