,off_avg,def_avg,ovr
mewtwo,14.651911081407578,3.9813426602830573,10.670568421124521
alakazam,13.146521346628257,5.4690703948982105,7.677450951730046
gengar,2.188651683523591,4.8007705043301065,-2.6121188208065154
exeggcutor,15.680299638412945,5.348133229450721,10.332166408962223
moltres,12.718689270504797,5.4824803532008834,7.236208917303913
zapdos,14.05050587348038,4.217817530190884,9.832688343289497
articuno,14.919130547478817,5.0744940397351,9.844636507743717
tentacruel,12.537926132242017,5.557491934114451,6.980434198127566
magneton,11.43269883265383,4.646013128848612,6.786685703805219
kadabra,11.958055766539314,6.976854304635762,4.981201461903551
omastar,11.391074377988817,5.391117074575295,5.999957303413522
hypno,11.56190057317634,4.641538398255933,6.920362174920407
haunter,2.0381375660319017,5.531650830214033,-3.493513264182131
vaporeon,10.992268667917896,5.2882891832229575,5.703979484694939
jolteon,10.67313066282451,5.647582781456954,5.025547881367556
flareon,10.198258933619869,6.579347782460365,3.6189111511595033
chansey,2.2027253747376916,32.47505518763797,-30.272329812900278
abra,10.769590186450381,11.333859981078525,-0.5642697946281441
dragonite,11.598687699666309,4.305179156500523,7.293508543165786
gyarados,10.194657247776052,5.0013652443624785,5.193292003413573
starmie,13.284428517127594,4.486633424230619,8.797795092896976
venusaur,8.31179237877387,5.9716080746828375,2.340184304091032
ninetales,9.457176995644792,6.233646799116998,3.2235301965277943
victreebel,10.9471072466361,6.495698420784513,4.451408825851588
tangela,8.31179237877387,5.283704866109991,3.0280875126638787
vileplume,10.194143373808034,5.927828593689131,4.266314780118903
mr. mime,10.3734349930874,4.940920020376974,5.432514972710426
tentacool,10.588378872269008,7.668701986754966,2.9196768855140416
gastly,1.8876234485402121,6.881529801324502,-4.99390635278429
mew,10.3734349930874,4.324927152317882,6.048507840769519
lapras,12.620318672281645,5.635375566399442,6.984943105882203
dewgong,12.620318672281645,5.635375566399442,6.984943105882203
seadra,9.795851537705131,4.76869292436389,5.027158613341241
jynx,13.273921920633594,7.487963949609122,5.785957971024472
magnemite,9.533778408080533,5.4883777324104965,4.045400675670036
raichu,9.153994323165868,6.1367850692354,3.017209253930468
venomoth,5.799911907985172,7.06420897718911,-1.2642970692039377
omanyte,9.397045827634207,6.171810890360558,3.2252349372736484
drowzee,9.581124606361444,5.9097571743929365,3.6713674319685072
cloyster,11.582557696670266,4.897963467947886,6.68459422872238
charizard,9.933297563734422,6.485602469209794,3.4476950945246285
blastoise,8.99824011756329,4.889732372419167,4.108507745144123
weezing,6.047382588269582,5.354444552655499,0.6929380356140831
electabuzz,8.774210238251207,6.130657399244117,2.64355283900709
magmar,8.345554088682178,7.198797148695658,1.1467569399865196
clefable,6.301731405268083,5.528179261544045,0.7735521437240385
weepinbell,9.762107050931549,7.526828593689132,2.2352784572424174
gloom,9.01667362587204,6.621895764928489,2.3947778609435506
arcanine,7.975013119694642,6.5654635761589395,1.4095495435357028
rapidash,7.975013119694642,6.836274834437087,1.1387382852575554
golduck,8.599434407492367,5.332620139242655,3.2668142682497123
electrode,8.39442615333655,5.759761116367077,2.634665036969473
slowbro,11.227542813702076,4.524592113184829,6.702950700517247
seaking,8.599434407492367,5.637356087620988,2.962078319871379
parasect,10.701155055215073,9.517649006622516,1.183506048592557
ivysaur,7.111023306992605,6.994002154945863,0.11702115204674168
butterfree,0.0,8.565567880794703,-8.565567880794703
nidoqueen,10.273844399403012,6.9608925934383805,3.312951805964632
