,off_avg,def_avg,ovr
caterpie,0.0748336743073441,1.019463418190953,-0.9446297438836089
metapod,0.06415824085753645,0.8528381368537146,-0.7886798959961782
butterfree,0.44922036247955655,0.6375042293827371,-0.18828386690318055
weedle,0.06045017800943242,1.2473185440933883,-1.1868683660839559
kakuna,0.053813446156574136,1.0394946806784937,-0.9856812345219196
beedrill,0.4888117344921292,0.6227482673913499,-0.1339365328992207
pidgey,0.39451409938891596,0.8987967321336574,-0.5042826327447414
pidgeotto,0.470168897651942,0.6190562309840764,-0.14888733333213433
pidgeot,0.5710419620026432,0.4394744123681983,0.13156754963444495
rattata,0.45156667867044475,0.8721304952532877,-0.4205638165828429
raticate,0.591252471140457,0.49657850646407947,0.09467396467637745
spearow,0.5107016982262105,0.9894524011549254,-0.4787507029287149
fearow,0.675829294948036,0.5414051298575143,0.13442416509052169
ekans,0.49175430133035025,0.8868797464162175,-0.3951254450858672
arbok,0.6284406505420416,0.5572128494296772,0.07122780111236438
pikachu,0.4682220555516482,0.9603822559995018,-0.4921602004478536
raichu,0.6858981577615781,0.549202455248528,0.1366957025130502
sandshrew,0.6366133009787046,0.8443760365301545,-0.20776273555144986
sandslash,0.7845917016445612,0.513172754035646,0.27141894760891516
nidoran_f,0.3773844929302748,0.7903383487188493,-0.4129538557885746
nidorina,0.4648441623726489,0.5950954114317548,-0.1302512490591059
nidoqueen,0.8534863751396826,0.45094376587265833,0.40254260926702434
nidoran_m,0.3925219721368794,0.9099270210130165,-0.5174050488761371
nidorino,0.4782770355315044,0.6647573234957841,-0.18648028796427962
nidoking,0.9300275253664368,0.5191198004814274,0.4109077248850095
clefairy,0.5721919034804105,0.5002349838232075,0.07195691965720297
clefable,0.7354027400351736,0.3322052494783539,0.40319749055681975
vulpix,0.4597496030320172,0.8460756628886732,-0.386326059856656
ninetales,0.6394948439079468,0.4527240113203167,0.18677083258763005
jigglypuff,0.5330852700692883,0.6241517242089151,-0.09106645413962677
wigglytuff,0.7268206503309933,0.37329218121934826,0.35352846911164504
zubat,0.33760333913766605,0.9579010528807637,-0.6202977137430976
golbat,0.4943696005655066,0.4964662067369143,-0.002096606171407722
oddish,0.526892074140626,0.7223551572516008,-0.19546308311097482
gloom,0.5985704687580902,0.5730907083784882,0.02547976037960198
vileplume,0.6828717122602622,0.4549270391236781,0.22794467313658406
paras,0.4248593151849414,1.183297034796639,-0.7584377196116976
parasect,0.5205258765700378,0.7607295303647235,-0.24020365379468567
venonat,0.42704008193131354,0.6847516341201878,-0.2577115521888742
venomoth,0.5664940931524366,0.5400810576703322,0.026413035482104386
diglett,0.5274240076724328,1.2411809885094067,-0.7137569808369739
dugtrio,0.6783659420603051,0.7072277774358229,-0.028861835375517786
meowth,0.4290173398898875,0.7775144541457555,-0.34849711425586793
persian,0.5722624177717915,0.47187880735316007,0.10038361041863142
psyduck,0.5835586565776691,0.6598603052260631,-0.07630164864839395
golduck,0.7653871835535427,0.3933311798022037,0.37205600375133907
mankey,0.5480479462142847,0.8742258615092079,-0.32617791529492324
primeape,0.6888601149614997,0.5371786912980966,0.1516814236634031
growlithe,0.5861895765576534,0.7472878327754391,-0.16109825621778573
arcanine,0.7694466297156664,0.419722642586023,0.34972398712964337
poliwag,0.46093396256355273,0.8049005240115518,-0.3439665614479991
poliwhirl,0.5700283192440379,0.5479924687144678,0.022035850529570022
poliwrath,0.7508162698465283,0.38841739931907376,0.36239887052745445
abra,0.7616804063811462,1.1866852233322505,-0.42500481695110426
kadabra,0.8938572763083307,0.7827220775220501,0.11113519878628053
alakazam,0.9841964924689628,0.5622062622121765,0.4219902302567863
machop,0.6247862735339543,0.7033940539031847,-0.07860778036923033
machoke,0.7409929560614131,0.4959680017484518,0.24502495431296134
machamp,0.9019376243942815,0.3905584184365225,0.511379205957759
bellsprout,0.5645426306510484,1.0270355912968252,-0.46249296064577683
weepinbell,0.6441224010395935,0.7423427344954183,-0.09822033345582482
victreebel,0.7237021714281386,0.5650981534220807,0.15860401800605795
tentacool,0.5268448513519063,0.8443036623997447,-0.31745881104783846
tentacruel,0.7226974215167882,0.46258493591255584,0.2601124856042324
