,bulbasaur,ivysaur,venusaur,charmander,charmeleon,charizard,squirtle,wartortle,blastoise,caterpie,metapod,butterfree,weedle,kakuna,beedrill,pidgey,pidgeotto,pidgeot,rattata,raticate,spearow,fearow,ekans,arbok,pikachu,raichu,sandshrew,sandslash,nidoran_f,nidorina,nidoqueen,nidoran_m,nidorino,nidoking,clefairy,clefable,vulpix,ninetales,jigglypuff,wigglytuff,zubat,golbat,oddish,gloom,vileplume,paras,parasect,venonat,venomoth,diglett,dugtrio,meowth,persian,psyduck,golduck,mankey,primeape,growlithe,arcanine,poliwag,poliwhirl,poliwrath,abra,kadabra,alakazam,machop,machoke,machamp,bellsprout,weepinbell,victreebel,tentacool,tentacruel,geodude,graveler,golem,ponyta,rapidash,slowpoke,slowbro,magnemite,magneton,farfetchd,doduo,dodrio,seel,dewgong,grimer,muk,shellder,cloyster,gastly,haunter,gengar,onix,drowzee,hypno,krabby,kingler,voltorb,electrode,exeggcute,exeggcutor,cubone,marowak,hitmonlee,hitmonchan,lickitung,koffing,weezing,rhyhorn,rhydon,chansey,tangela,kangaskhan,horsea,seadra,goldeen,seaking,staryu,starmie,mr. mime,scyther,jynx,electabuzz,magmar,pinsir,tauros,magikarp,gyarados,lapras,ditto,eevee,vaporeon,jolteon,flareon,porygon,omanyte,omastar,kabuto,kabutops,aerodactyl,snorlax,articuno,zapdos,moltres,dratini,dragonair,dragonite,mewtwo,mew
bulbasaur,-,-5,-4,-2,-1,-1,1,4,-3,5,5,-3,6,6,-4,-5,-3,-3,2,-3,-3,-3,-5,-3,4,-3,1,-3,5,-5,-3,-5,-5,-3,5,-3,-1,-1,3,-3,-4,-3,5,-6,-5,-4,-4,-5,-3,2,-3,-3,-3,2,-3,-3,-3,-2,-1,2,4,-3,4,-1,-1,3,-3,-3,5,-3,-3,-5,-5,1,1,-1,-3,-3,3,3,4,-5,-3,-3,-3,-3,-1,-4,-3,1,-1,-1,-1,-1,2,-4,-3,2,2,4,-5,7,-3,1,4,2,-3,-4,-6,-3,1,1,-5,-7,-3,2,4,2,4,2,4,-3,-3,-1,-3,-1,-3,-3,2,-3,-1,4,4,-3,-5,-1,-4,1,2,2,2,-3,-2,-1,-3,-1,-5,-4,-3,-1,-3
ivysaur,5,-,-5,-3,-3,-1,1,1,4,3,3,-5,3,5,-5,3,-5,-3,2,-3,4,-3,5,-5,4,-5,1,2,5,6,-5,5,6,-5,3,-3,-3,-1,3,-4,5,-3,5,-6,-6,5,-5,5,-5,2,2,-3,-3,1,4,4,4,-3,-1,2,2,4,4,-3,-3,3,3,-4,5,5,-5,6,-5,1,1,1,-5,-3,1,3,3,6,-3,-3,-3,3,-1,-6,-4,1,-1,-3,-3,-1,2,-4,-3,1,2,4,4,6,-6,1,1,2,4,5,5,-5,1,1,-5,-7,-3,2,4,2,4,2,4,-3,-3,-1,-5,-1,-3,-3,2,-5,-1,3,3,-3,6,-1,3,1,1,1,2,-3,-4,-1,-3,-2,5,-5,-3,-1,-5
venusaur,4,5,-,3,-3,-3,1,1,3,3,3,5,3,5,4,3,5,-5,1,3,3,-5,3,-7,4,4,1,1,4,5,5,3,5,4,3,5,3,-2,3,3,3,-5,5,5,7,5,-6,5,-5,2,2,2,4,1,4,1,4,-4,-3,2,2,1,3,-3,-3,3,3,3,3,5,5,3,6,1,1,1,-5,-5,1,3,3,4,-4,3,-5,1,3,5,-6,1,1,-3,-3,-3,1,3,-4,1,1,4,4,5,-6,1,1,2,1,3,5,7,1,1,5,7,4,1,2,1,2,2,2,-3,-4,-1,4,-3,-3,4,2,-5,3,3,3,3,6,-2,3,1,1,1,2,4,-4,-1,-5,-3,3,5,-5,-3,-5
charmander,2,3,-3,-,-3,-3,-2,-2,-1,1,1,4,1,1,2,3,-3,-3,2,-3,3,-3,3,-3,-3,-3,3,-3,3,4,-1,3,4,-1,-4,-4,4,-3,3,-2,3,-3,3,3,3,1,1,1,4,-1,-1,-3,-1,-2,-1,-3,-3,3,-3,-1,-1,-1,2,-3,-3,3,3,-4,3,3,-3,-1,-1,-2,-2,-2,-3,-3,-4,-2,5,-5,-4,-3,-1,-2,-1,3,-4,-2,-1,-3,-3,-3,-5,5,-3,-4,-1,4,-5,3,-4,3,-2,2,-3,-4,3,-4,-4,-4,-3,3,-1,-2,-1,-2,-1,-1,-1,-3,-3,-1,-3,-3,-1,-3,4,-1,-2,3,3,-1,-1,-3,-4,-2,-2,-2,-1,-3,-2,-1,-1,-3,3,-1,-1,-3,-1
charmeleon,1,3,4,3,-,-3,-4,-2,-2,1,1,3,1,1,1,3,3,-3,1,-3,2,-3,3,4,4,-3,3,3,3,3,-4,3,3,-3,3,-4,3,-5,3,-4,3,4,1,3,3,1,1,1,4,-1,-1,-3,-3,3,-1,2,-3,3,-5,-3,-3,-2,2,4,-3,3,3,4,1,3,3,-2,-1,-2,-2,-2,4,4,-4,-2,3,5,3,3,-3,-2,-2,3,-4,-4,-2,-3,-3,-3,3,3,5,3,-4,4,4,1,3,3,3,2,3,-4,3,5,5,-4,3,3,-3,-2,-1,3,-2,-1,-1,-5,2,-3,-3,-5,2,-3,4,-1,-2,3,3,-2,-3,4,3,-2,-2,-3,-1,-5,-4,-3,-3,-3,3,-4,-3,-3,-3
charizard,1,1,3,3,3,-,3,-4,-4,1,1,1,1,1,1,1,3,3,1,3,1,4,1,3,3,-1,1,3,3,3,-4,2,3,3,3,-4,3,6,3,3,1,3,1,1,3,1,1,1,2,1,4,1,-3,3,-4,1,3,3,5,3,-4,-4,1,4,4,3,3,3,1,1,3,-2,-1,3,-4,-4,3,4,-4,-4,3,-4,3,1,-3,3,-2,3,5,3,3,5,-6,-5,3,3,5,3,-4,4,4,1,3,3,3,1,1,3,3,3,5,-6,3,3,3,3,-2,3,-4,3,-1,3,2,-2,-3,3,1,4,3,-2,-2,3,3,-2,-1,3,3,-2,-2,3,-3,-5,-4,-2,-2,5,3,3,-4,-5,-3
squirtle,-1,-1,-1,2,4,-3,-,-5,-5,4,3,6,3,3,4,4,4,-3,2,-3,3,-3,4,-5,-1,-1,1,-3,3,4,4,4,4,4,-4,-3,4,4,3,-3,4,-5,-2,-2,-1,5,-6,4,6,2,-3,-3,-3,6,-5,4,-3,2,4,6,-5,-5,4,-3,-3,3,-3,-3,-2,-1,-1,-5,-3,1,1,2,2,4,-8,-6,-3,-3,-3,-3,-3,-5,-3,5,-3,5,-5,-3,-3,-3,2,5,-3,-5,-3,4,6,-4,-5,1,4,2,-3,5,3,-3,1,1,-4,-3,-3,-5,-5,6,-5,-5,-3,-3,-3,-3,-1,4,-3,-3,4,-3,-4,4,4,-3,-1,-3,5,5,-3,-3,-3,4,-2,-3,-1,-3,6,-5,-3,-3,-3
wartortle,-4,-1,-1,2,2,4,5,-,-5,1,3,6,1,2,4,3,4,4,2,4,2,4,3,4,-3,-1,1,2,3,3,4,3,4,4,3,-4,2,4,3,-4,3,5,-4,-4,-2,5,-6,3,6,2,2,4,-3,5,-5,3,4,2,4,6,-7,-5,4,4,-3,3,3,4,-4,-2,-1,4,-5,1,1,1,2,3,7,-8,3,-3,-3,4,-3,5,-5,3,5,5,-5,-3,-3,-3,2,5,-5,3,-5,4,4,-4,-8,1,1,2,3,5,3,-5,1,1,3,-3,-3,6,-5,6,6,6,-5,-5,-3,-5,-1,4,-3,-3,4,-5,-5,3,3,-5,-1,4,4,5,-6,3,-3,2,-4,-5,-1,4,4,6,-5,-3,-5
blastoise,3,-4,-3,1,2,4,5,5,-,1,1,3,1,1,3,1,3,4,1,4,1,4,1,4,-3,-3,1,1,3,3,3,2,3,2,3,5,1,4,3,3,1,4,-4,-4,-4,3,5,3,4,2,2,2,4,3,-7,1,4,1,3,4,6,7,2,4,4,3,3,3,3,-4,-4,3,6,1,1,1,2,2,5,9,3,-4,3,1,4,5,5,3,5,3,5,-5,-5,-5,1,3,5,3,5,4,4,5,7,1,1,2,2,3,3,3,1,1,3,-6,4,5,-7,4,5,4,-7,4,4,4,-3,2,4,4,4,-7,-6,3,3,7,-1,3,3,3,5,1,4,2,-4,-5,-1,4,3,5,-7,-5,6
caterpie,-5,-3,-3,-1,-1,-1,-4,-1,-1,-,11,-5,-7,-10,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,-1,-4,-3,-6,-5,-3,-5,-3,-3,-4,-3,-1,-1,-4,-1,-3,-3,-4,-4,-3,-4,-4,-5,-3,-3,-3,-3,-1,-3,-1,-3,-3,-1,-1,-3,-3,-1,6,-2,-1,-4,-3,-3,-4,-3,-1,-1,-1,-4,-4,-3,-2,-1,-4,-2,-3,-3,-1,-3,-1,-1,-1,-2,-1,-4,-1,-1,-1,-1,-5,-4,-3,-3,-3,-6,-5,-6,-3,-6,-3,-3,-3,-4,-2,-1,-4,-4,-5,-5,-1,-1,-1,-3,-1,-1,-1,-3,-1,-1,-1,-1,-1,-1,10,-1,-1,-5,-3,-1,-1,-1,-4,-2,-1,-3,-1,-2,-2,-1,-1,-1,-3,-3,-1,-1,-1
metapod,-5,-3,-3,-1,-1,-1,-3,-3,-1,11,-,-5,-9,-11,-5,-5,-4,-3,-5,-3,-4,-3,-3,-3,-3,-1,-5,-3,-7,-5,-3,-6,-5,-3,-5,-3,-1,-1,-4,-3,-5,-3,-5,-3,-3,-6,-3,-7,-5,-4,-3,-3,-3,-3,-1,-5,-3,-1,-1,-3,-3,-1,7,-3,-3,-5,-3,-3,-3,-3,-3,-1,-1,-6,-3,-3,-3,-1,-4,-1,-3,-3,-3,-3,-3,-2,-1,-3,-1,-3,-1,-3,-1,-1,-5,-3,-3,-3,-3,-7,-5,-7,-5,-6,-5,-3,-3,-3,-3,-1,-6,-3,-6,-7,-3,-1,-1,-3,-1,-1,-1,-3,-3,-1,-1,-1,-3,-3,11,-1,-1,-7,-5,-1,-1,-1,-5,-1,-1,-3,-1,-3,-1,-1,-1,-1,-3,-3,-3,-1,-3
butterfree,3,5,-5,-4,-3,-1,-6,-6,-3,5,5,-,3,3,4,5,-5,-3,4,-3,-3,-3,3,-3,-3,-1,5,-4,3,4,-5,3,3,-3,-4,-4,-3,-1,-4,-4,3,-3,5,-4,-4,-6,-4,3,-5,-3,-3,-3,-3,-6,-3,4,-3,-4,-1,-5,-5,-5,4,-5,-4,3,-4,-4,-4,-4,-3,-3,-3,-4,-2,-2,-5,-3,-6,-4,-4,-3,-4,-3,-3,-4,-1,3,-2,5,-1,-5,-5,-3,-3,-6,-6,5,-3,6,-5,8,-5,7,-6,2,-3,-6,3,-2,-6,-4,-5,-8,-3,-4,-3,-6,-4,-3,-3,-5,-3,-1,-2,-1,-3,-3,4,-3,-2,5,-4,-4,-1,-2,-4,-4,-4,-4,-3,-3,-2,-1,-1,-1,5,-5,-3,-3,-3
